Hotel_ID,Hotel_Name,City,Hotel_Type,Star_Rating,Rooms,Base_Room_Rate
160045,Hotel_44,Singapore,Boutique,4,541,29106.87
160046,Hotel_45,Bengaluru,Luxury,3,176,22575.65
160047,Hotel_46,Singapore,Boutique,3,930,33552.25
160048,Hotel_47,Dubai,Business,4,929,38203.85
160049,Hotel_48,Goa,Business,4,840,7126.6
160050,Hotel_49,Mumbai,Resort,3,394,26799.2
160051,Hotel_50,Dubai,Luxury,4,818,25483.6
160052,Hotel_51,Dubai,Business,3,1087,27920.86
160053,Hotel_52,Jaipur,Budget,4,21,38844.34
160054,Hotel_53,Jaipur,Boutique,3,679,34727.69
160055,Hotel_54,Bengaluru,Budget,4,149,3631.25
160056,Hotel_55,Mumbai,Resort,2,1165,38045.53
160057,Hotel_56,Jaipur,Resort,4,1141,18666.76
160058,Hotel_57,Jaipur,Business,4,666,19253.38
160059,Hotel_58,Singapore,Budget,2,116,5540.11
160060,Hotel_59,Bengaluru,Business,3,109,14454.39
160061,Hotel_60,Mumbai,Business,5,876,26902.79
160062,Hotel_61,Bengaluru,Resort,4,232,24448.09
160063,Hotel_62,Mumbai,Luxury,2,183,12801.82
160064,Hotel_63,Goa,Budget,5,510,41921.21
160065,Hotel_64,Dubai,Resort,4,824,21906.36
160066,Hotel_65,Mumbai,Business,5,386,3835.24
160067,Hotel_66,London,Resort,2,135,8302.35
160068,Hotel_67,Jaipur,Resort,2,1120,12117.43
160069,Hotel_68,Jaipur,Luxury,5,674,33537.27
160070,Hotel_69,Goa,Business,5,193,49990.67
160071,Hotel_70,Delhi,Budget,3,552,42419.57
160072,Hotel_71,Goa,Budget,4,465,1405.07
160073,Hotel_72,Mumbai,Luxury,2,979,1215.59
160074,Hotel_73,Dubai,Budget,2,261,2168.51
160075,Hotel_74,Goa,Boutique,3,446,26297.16
160076,Hotel_75,Bengaluru,Business,4,590,7709.15
160077,Hotel_76,London,Budget,3,545,2192.41
160078,Hotel_77,Jaipur,Budget,2,463,13931.61
160079,Hotel_78,Delhi,Business,3,525,44882.15
160080,Hotel_79,Bengaluru,Boutique,4,827,9749.85
160081,Hotel_80,Goa,Business,3,406,16389.75
160082,Hotel_81,Bengaluru,Budget,2,617,23797.01
160083,Hotel_82,Delhi,Boutique,4,91,23060.62
160084,Hotel_83,Dubai,Resort,4,1048,4150.3
160085,Hotel_84,Singapore,Budget,5,139,36650.02
160086,Hotel_85,London,Budget,5,370,14608.3
160087,Hotel_86,Bengaluru,Business,3,273,14787.05
160088,Hotel_87,Delhi,Budget,4,451,31533.71
160089,Hotel_88,Singapore,Budget,2,552,41820.55
160090,Hotel_89,Dubai,Boutique,3,971,5077.3
160091,Hotel_90,Jaipur,Luxury,3,1032,25018.57
160092,Hotel_91,Delhi,Business,4,549,30733.69
160093,Hotel_92,Delhi,Budget,4,1118,40742.59
160094,Hotel_93,Bengaluru,Resort,4,370,33183.86
160095,Hotel_94,Goa,Resort,4,1076,46955.87
160096,Hotel_95,Bengaluru,Business,3,1090,41167.47
160097,Hotel_96,Jaipur,Resort,4,805,31198.32
160098,Hotel_97,Dubai,Boutique,4,1166,14178.24
160099,Hotel_98,Singapore,Boutique,4,917,46869.97
160100,Hotel_99,Jaipur,Resort,5,112,38720.23
160101,Hotel_100,Delhi,Business,2,398,9801.89
160102,Hotel_101,Dubai,Budget,3,577,1924.02
160103,Hotel_102,Delhi,Business,4,146,38434.19
160104,Hotel_103,Jaipur,Resort,3,805,39386.13
160105,Hotel_104,Mumbai,Resort,2,943,42666.27
160106,Hotel_105,Goa,Boutique,2,64,40867.32
160107,Hotel_106,Delhi,Resort,3,441,48474.88
160108,Hotel_107,Goa,Luxury,3,1025,35668.71
160109,Hotel_108,Goa,Business,3,1057,34880.97
160110,Hotel_109,Dubai,Resort,5,955,21910.45
160111,Hotel_110,Bengaluru,Resort,3,313,44025.47
160112,Hotel_111,Dubai,Boutique,3,378,17141.5
160113,Hotel_112,Dubai,Budget,4,941,6412.53
160114,Hotel_113,Delhi,Resort,3,706,25681.19
160115,Hotel_114,Bengaluru,Business,5,469,14007.41
160116,Hotel_115,Bengaluru,Business,3,1018,30480.05
160117,Hotel_116,Goa,Resort,4,470,31705.86
160118,Hotel_117,Singapore,Resort,4,184,30219.09
160119,Hotel_118,Jaipur,Luxury,2,192,40504.13
160120,Hotel_119,Jaipur,Luxury,4,696,18146.69
160121,Hotel_120,London,Business,4,628,15306.77
160122,Hotel_121,Jaipur,Resort,2,460,16662.61
160123,Hotel_122,Delhi,Resort,3,1186,37071.69
160124,Hotel_123,Mumbai,Resort,3,1147,39144.22
160125,Hotel_124,Delhi,Budget,4,810,33595.86
160126,Hotel_125,Delhi,Business,3,614,20741.33
160127,Hotel_126,Singapore,Business,3,1064,39057.84
160128,Hotel_127,London,Budget,4,433,13837.82
160129,Hotel_128,Mumbai,Business,4,1139,7049.76
160130,Hotel_129,Singapore,Budget,2,207,24822.5
160131,Hotel_130,Mumbai,Boutique,5,302,47244.84
160132,Hotel_131,Dubai,Business,4,455,4533.75
160133,Hotel_132,Dubai,Business,5,694,24638.57
160134,Hotel_133,Jaipur,Boutique,3,1022,41152.28
160135,Hotel_134,Bengaluru,Luxury,5,152,8100.85
160136,Hotel_135,Dubai,Budget,4,1004,6619.37
160137,Hotel_136,Bengaluru,Budget,3,310,30124.52
160138,Hotel_137,Singapore,Business,4,976,40102.04
160139,Hotel_138,Jaipur,Boutique,3,917,29532.75
160140,Hotel_139,Singapore,Resort,4,718,15082.66
160141,Hotel_140,London,Boutique,3,1140,20229.85
160142,Hotel_141,Mumbai,Resort,3,979,12627.87
160143,Hotel_142,Mumbai,Resort,3,878,44551.57
160144,Hotel_143,Singapore,Luxury,3,806,44170.68
160145,Hotel_144,London,Boutique,3,717,34788.02
160146,Hotel_145,Jaipur,Business,4,592,46390.78
160147,Hotel_146,London,Business,2,932,14991.79
160148,Hotel_147,Dubai,Resort,3,458,46181.23
160149,Hotel_148,London,Luxury,3,439,11227.72
160150,Hotel_149,London,Luxury,2,685,5982.01
160151,Hotel_150,Dubai,Resort,4,994,21834.79
160152,Hotel_151,Dubai,Luxury,4,1122,13551.85
160153,Hotel_152,Dubai,Resort,3,397,3195.31
160154,Hotel_153,Delhi,Luxury,4,994,17778.1
160155,Hotel_154,Singapore,Budget,2,618,17468.24
160156,Hotel_155,Mumbai,Resort,3,112,27542.77
160157,Hotel_156,Goa,Business,4,866,28395.93
160158,Hotel_157,Bengaluru,Budget,3,444,47121.43
160159,Hotel_158,Singapore,Luxury,3,1109,49839.74
160160,Hotel_159,Bengaluru,Resort,4,978,5908.08
160161,Hotel_160,Mumbai,Resort,3,687,21549.96
160162,Hotel_161,Bengaluru,Boutique,5,615,8252.34
160163,Hotel_162,Bengaluru,Boutique,4,106,30236.73
160164,Hotel_163,Bengaluru,Luxury,3,290,9855.41
160165,Hotel_164,Dubai,Budget,3,393,28720.54
160166,Hotel_165,Delhi,Budget,4,575,1430.13
160167,Hotel_166,Singapore,Luxury,3,744,42570.42
160168,Hotel_167,Goa,Boutique,4,209,1520.11
160169,Hotel_168,Mumbai,Luxury,4,940,1943.04
160170,Hotel_169,Mumbai,Resort,4,1183,3939.25
160171,Hotel_170,Singapore,Business,4,929,39180.67
160172,Hotel_171,Mumbai,Boutique,3,532,10042.72
160173,Hotel_172,London,Budget,3,346,9722.92
160174,Hotel_173,Goa,Boutique,3,534,48889.18
160175,Hotel_174,Delhi,Business,4,836,37163.71
160176,Hotel_175,Dubai,Resort,3,1069,8401.15
160177,Hotel_176,Jaipur,Luxury,4,631,17658.09
160178,Hotel_177,London,Budget,5,470,38665.57
160179,Hotel_178,London,Resort,5,1089,28185.53
160180,Hotel_179,Mumbai,Resort,3,875,44907.15
160181,Hotel_180,Mumbai,Budget,3,40,17098.35
160182,Hotel_181,Singapore,Resort,2,112,26836.62
160183,Hotel_182,Dubai,Luxury,2,304,32809.16
160184,Hotel_183,Singapore,Budget,4,1012,35724.95
160185,Hotel_184,Mumbai,Luxury,4,906,36004.86
160186,Hotel_185,Jaipur,Luxury,4,319,20970.39
160187,Hotel_186,Bengaluru,Budget,5,284,9744.87
160188,Hotel_187,Mumbai,Budget,4,479,8881.74
160189,Hotel_188,London,Boutique,3,1160,43250.79
160190,Hotel_189,Delhi,Boutique,4,944,11710.29
160191,Hotel_190,London,Budget,3,66,28595.24
160192,Hotel_191,Delhi,Business,4,1046,45295.47
160193,Hotel_192,Dubai,Luxury,2,825,24693.06
160194,Hotel_193,London,Business,3,365,19776.82
160195,Hotel_194,Bengaluru,Budget,3,647,43144.84
160196,Hotel_195,Goa,Boutique,4,472,28690.84
160197,Hotel_196,Goa,Luxury,5,501,9820.32
160198,Hotel_197,Singapore,Business,3,1035,38199.49
160199,Hotel_198,Jaipur,Resort,4,270,13378.49
160200,Hotel_199,Dubai,Business,4,669,21761.28
160201,Hotel_200,Delhi,Boutique,4,227,33932.06
160202,Hotel_201,Delhi,Luxury,4,914,19617.72
160203,Hotel_202,London,Business,4,276,39880.36
160204,Hotel_203,Goa,Luxury,4,543,3112.14
160205,Hotel_204,London,Luxury,3,372,47307.38
160206,Hotel_205,Jaipur,Budget,4,1126,4602.96
160207,Hotel_206,Goa,Business,3,200,39690.43
160208,Hotel_207,Goa,Business,3,1006,18995.16
160209,Hotel_208,Delhi,Business,5,889,21904.5
160210,Hotel_209,London,Luxury,3,430,29480.01
160211,Hotel_210,Jaipur,Budget,5,1049,21867.49
160212,Hotel_211,Jaipur,Luxury,3,363,10552.37
160213,Hotel_212,London,Luxury,5,742,14872.14
160214,Hotel_213,Delhi,Budget,3,465,25498.17
160215,Hotel_214,Delhi,Luxury,4,326,38075.99
160216,Hotel_215,Dubai,Budget,3,1101,29976.68
160217,Hotel_216,Singapore,Boutique,2,129,49674.39
160218,Hotel_217,Dubai,Budget,3,748,16568.88
160219,Hotel_218,Singapore,Business,2,382,7270.27
160220,Hotel_219,London,Resort,4,963,45868.41
160221,Hotel_220,Goa,Resort,3,1109,7232.66
160222,Hotel_221,Bengaluru,Boutique,2,890,2159.05
160223,Hotel_222,Jaipur,Luxury,2,788,23345.48
160224,Hotel_223,Jaipur,Boutique,4,618,18756.4
160225,Hotel_224,Goa,Budget,4,253,24349.66
160226,Hotel_225,Delhi,Luxury,2,1002,31049.39
160227,Hotel_226,Singapore,Boutique,3,904,10468.72
160228,Hotel_227,Dubai,Boutique,3,875,6488.45
160229,Hotel_228,Singapore,Luxury,3,332,10437.94
160230,Hotel_229,Mumbai,Boutique,3,62,11096.27
160231,Hotel_230,London,Resort,4,184,5192.48
160232,Hotel_231,Mumbai,Luxury,3,836,46478.6
160233,Hotel_232,Delhi,Luxury,3,680,18627.58
160234,Hotel_233,Jaipur,Resort,5,1111,6266.83
160235,Hotel_234,Dubai,Budget,3,321,42247.65
160236,Hotel_235,Mumbai,Resort,5,943,44766.73
160237,Hotel_236,Singapore,Luxury,3,1002,24027.61
160238,Hotel_237,Goa,Business,4,1177,8072.49
160239,Hotel_238,London,Resort,4,260,49269.28
160240,Hotel_239,Dubai,Budget,5,514,7186.94
160241,Hotel_240,Bengaluru,Luxury,3,255,35228.12
160242,Hotel_241,Dubai,Boutique,4,971,24019.16
160243,Hotel_242,Dubai,Luxury,3,754,26368.42
160244,Hotel_243,Bengaluru,Luxury,5,1149,37726.12
160245,Hotel_244,Goa,Budget,4,271,14117.97
160246,Hotel_245,London,Luxury,3,36,42736.44
160247,Hotel_246,Dubai,Business,2,516,10422.17
160248,Hotel_247,Dubai,Resort,5,161,14005.89
160249,Hotel_248,London,Boutique,3,562,47171.74
160250,Hotel_249,London,Business,3,698,15317.11
160251,Hotel_250,London,Budget,4,533,26942.48
160252,Hotel_251,Mumbai,Business,5,1173,23567.61
160253,Hotel_252,Bengaluru,Resort,3,766,44651.76
160254,Hotel_253,Mumbai,Budget,3,911,13722.87
160255,Hotel_254,Singapore,Luxury,5,758,11219.62
160256,Hotel_255,Singapore,Luxury,3,254,4791.1
160257,Hotel_256,Goa,Budget,4,596,20807.58
160258,Hotel_257,Singapore,Luxury,2,1085,27321.5
160259,Hotel_258,Delhi,Resort,2,1102,44406.66
160260,Hotel_259,Bengaluru,Budget,3,672,12307.55
160261,Hotel_260,Jaipur,Resort,3,291,45966.1
160262,Hotel_261,Dubai,Business,3,1075,12590.94
160263,Hotel_262,Delhi,Resort,5,880,16456.77
160264,Hotel_263,Dubai,Luxury,4,260,44847.91
160265,Hotel_264,Delhi,Luxury,3,1049,45390.84
160266,Hotel_265,Dubai,Boutique,5,355,38485.2
160267,Hotel_266,Delhi,Budget,5,658,46851.76
160268,Hotel_267,Delhi,Luxury,3,427,27554.53
160269,Hotel_268,Dubai,Budget,3,1090,38525.39
160270,Hotel_269,Delhi,Business,4,967,34315.99
160271,Hotel_270,Dubai,Boutique,4,423,35729.7
160272,Hotel_271,Delhi,Resort,5,690,40187.43
160273,Hotel_272,Goa,Resort,4,20,44969.15
160274,Hotel_273,Delhi,Resort,4,1091,21191.34
160275,Hotel_274,Jaipur,Resort,5,1176,48765.27
160276,Hotel_275,London,Resort,4,216,31797.93
160277,Hotel_276,Bengaluru,Business,3,420,25576.15
160278,Hotel_277,Goa,Business,3,389,16517.14
160279,Hotel_278,Delhi,Resort,2,47,29244.4
160280,Hotel_279,Goa,Business,3,857,26793.3
160281,Hotel_280,Dubai,Luxury,4,937,48357.75
160282,Hotel_281,Goa,Boutique,3,958,33175.77
160283,Hotel_282,Delhi,Business,2,284,35025.25
160284,Hotel_283,Delhi,Luxury,3,238,11528.19
160285,Hotel_284,Bengaluru,Business,4,175,43680.57
160286,Hotel_285,Jaipur,Business,4,1029,35985.04
160287,Hotel_286,Singapore,Resort,3,147,5056.79
160288,Hotel_287,Jaipur,Luxury,3,343,17416.57
160289,Hotel_288,Goa,Business,2,569,38758.42
160290,Hotel_289,Singapore,Luxury,4,681,1388.28
160291,Hotel_290,Dubai,Boutique,3,280,9198.44
160292,Hotel_291,Bengaluru,Budget,2,180,46688.57
160293,Hotel_292,Mumbai,Boutique,4,631,26836.57
160294,Hotel_293,Goa,Budget,5,1016,40288.16
160295,Hotel_294,Singapore,Boutique,5,1079,11132.64
160296,Hotel_295,London,Business,4,971,15979.77
160297,Hotel_296,Delhi,Luxury,3,607,10303.63
160298,Hotel_297,Bengaluru,Boutique,4,1110,46299.03
160299,Hotel_298,Singapore,Resort,4,137,33862.09
160300,Hotel_299,Dubai,Business,3,480,7751.53
160301,Hotel_300,Delhi,Business,3,289,17554.04
160302,Hotel_301,Mumbai,Budget,3,1049,32308.99
160303,Hotel_302,Jaipur,Resort,4,1063,9268.93
160304,Hotel_303,Delhi,Business,4,1199,49234.97
160305,Hotel_304,Delhi,Budget,5,239,7546.57
160306,Hotel_305,Mumbai,Business,2,1069,4188.37
160307,Hotel_306,Mumbai,Boutique,2,742,7677.6
160308,Hotel_307,Mumbai,Business,4,898,42155.66
160309,Hotel_308,Singapore,Budget,4,982,18223.93
160310,Hotel_309,Singapore,Budget,3,389,7063.07
160311,Hotel_310,Singapore,Budget,3,304,49841.05
160312,Hotel_311,Bengaluru,Luxury,3,101,46942.93
160313,Hotel_312,Goa,Luxury,3,1090,5832.54
160314,Hotel_313,Singapore,Budget,4,106,32685.49
160315,Hotel_314,Mumbai,Resort,5,544,3599.87
160316,Hotel_315,Jaipur,Business,3,366,41246.99
160317,Hotel_316,Dubai,Resort,4,887,16250.76
160318,Hotel_317,Delhi,Budget,4,896,28611.68
160319,Hotel_318,Jaipur,Budget,3,1044,20406.09
160320,Hotel_319,Dubai,Resort,3,834,15153.68
160321,Hotel_320,Singapore,Luxury,4,846,43558.11
160322,Hotel_321,Dubai,Resort,4,1127,12620.19
160323,Hotel_322,Singapore,Luxury,4,175,42850.88
160324,Hotel_323,Goa,Business,4,103,1551.63
160325,Hotel_324,Delhi,Boutique,4,1183,12011.47
160326,Hotel_325,London,Boutique,4,179,17677.36
160327,Hotel_326,Singapore,Business,3,974,27249.44
160328,Hotel_327,Dubai,Boutique,4,506,4860.25
160329,Hotel_328,London,Boutique,3,277,1693.85
160330,Hotel_329,Bengaluru,Resort,5,962,21446.3
160331,Hotel_330,Bengaluru,Boutique,4,1089,28547.43
160332,Hotel_331,Singapore,Business,3,901,33585.6
160333,Hotel_332,Goa,Budget,3,304,30518.92
160334,Hotel_333,Goa,Boutique,5,935,20137.96
160335,Hotel_334,Goa,Budget,3,461,8382.25
160336,Hotel_335,Singapore,Business,4,416,9053.06
160337,Hotel_336,London,Resort,3,305,45333.2
160338,Hotel_337,Jaipur,Luxury,5,743,28387.13
160339,Hotel_338,Jaipur,Luxury,2,965,19198.17
160340,Hotel_339,Jaipur,Business,2,1065,31082.97
160341,Hotel_340,Goa,Resort,2,196,36603.96
160342,Hotel_341,Delhi,Boutique,4,976,6490.35
160343,Hotel_342,London,Boutique,4,241,21890.7
160344,Hotel_343,London,Boutique,4,123,15632.11
160345,Hotel_344,Dubai,Luxury,2,656,11603.91
160346,Hotel_345,Bengaluru,Resort,4,810,34127.4
160347,Hotel_346,Jaipur,Business,2,1128,9021.16
160348,Hotel_347,Goa,Boutique,3,663,22092.69
160349,Hotel_348,Goa,Resort,4,191,42006.8
160350,Hotel_349,Dubai,Business,3,1084,28123.84
160351,Hotel_350,London,Luxury,4,62,34840.58
160352,Hotel_351,Jaipur,Boutique,5,486,47385.3
160353,Hotel_352,Jaipur,Resort,4,804,4377.51
160354,Hotel_353,London,Resort,4,631,6209.56
160355,Hotel_354,London,Resort,2,786,38944.14
160356,Hotel_355,Bengaluru,Boutique,2,986,8467.34
160357,Hotel_356,Mumbai,Budget,5,483,16769.48
160358,Hotel_357,Goa,Business,5,133,48726.24
160359,Hotel_358,Delhi,Luxury,3,1198,40081.19
160360,Hotel_359,Bengaluru,Luxury,3,703,45645.99
160361,Hotel_360,Bengaluru,Budget,5,915,18246.72
160362,Hotel_361,London,Boutique,3,1040,20981.68
160363,Hotel_362,Delhi,Business,3,1141,37024.99
160364,Hotel_363,Singapore,Luxury,3,553,13661.5
160365,Hotel_364,London,Budget,4,298,24885.39
160366,Hotel_365,Jaipur,Resort,5,864,19263.24
160367,Hotel_366,Bengaluru,Budget,3,803,27004.59
160368,Hotel_367,Goa,Boutique,3,88,35128.96
160369,Hotel_368,Singapore,Boutique,2,712,33816.55
160370,Hotel_369,Jaipur,Boutique,4,486,16261.19
160371,Hotel_370,Jaipur,Resort,3,227,12737.6
160372,Hotel_371,London,Budget,3,1111,17190.78
160373,Hotel_372,Delhi,Resort,4,431,37943.05
160374,Hotel_373,Mumbai,Luxury,4,950,9167.59
160375,Hotel_374,Bengaluru,Resort,2,381,43426.14
160376,Hotel_375,London,Boutique,3,554,1475.89
160377,Hotel_376,Dubai,Boutique,3,105,17456.93
160378,Hotel_377,Dubai,Business,3,139,28176.2
160379,Hotel_378,Singapore,Budget,4,142,24105.89
160380,Hotel_379,Goa,Budget,5,127,11425.11
160381,Hotel_380,Bengaluru,Resort,2,677,10297.1
160382,Hotel_381,Bengaluru,Boutique,5,968,14863.78
160383,Hotel_382,Delhi,Business,5,374,7888.92
160384,Hotel_383,Bengaluru,Budget,2,192,27160.53
160385,Hotel_384,London,Boutique,2,618,16942.62
160386,Hotel_385,Dubai,Boutique,4,679,5061.71
160387,Hotel_386,Bengaluru,Boutique,3,1116,44244.98
160388,Hotel_387,London,Budget,4,448,34483.23
160389,Hotel_388,Bengaluru,Business,3,398,22091.48
160390,Hotel_389,Bengaluru,Boutique,3,257,22593.16
160391,Hotel_390,Goa,Boutique,4,93,14935.73
160392,Hotel_391,Goa,Budget,3,812,45394.9
160393,Hotel_392,Jaipur,Resort,3,1135,38068.89
160394,Hotel_393,Delhi,Boutique,3,686,19720.7
160395,Hotel_394,Dubai,Business,4,963,19452.69
160396,Hotel_395,Goa,Budget,3,441,47658.73
160397,Hotel_396,Jaipur,Luxury,2,685,23438.92
160398,Hotel_397,Jaipur,Business,5,365,46507.53
160399,Hotel_398,Bengaluru,Budget,3,688,28128.66
160400,Hotel_399,Delhi,Resort,3,356,36346.27
160401,Hotel_400,Goa,Business,5,477,28779.3
160402,Hotel_401,Delhi,Luxury,4,1037,18857.69
160403,Hotel_402,London,Budget,3,912,15762.95
160404,Hotel_403,Singapore,Boutique,3,1105,36732.83
160405,Hotel_404,Goa,Boutique,3,76,22868.58
160406,Hotel_405,Goa,Boutique,3,405,18412.66
160407,Hotel_406,Singapore,Budget,2,295,43054.16
160408,Hotel_407,London,Budget,3,82,10800.53
160409,Hotel_408,Dubai,Luxury,3,649,25866.19
160410,Hotel_409,Jaipur,Budget,4,208,36422.61
160411,Hotel_410,Delhi,Boutique,4,35,2165.85
160412,Hotel_411,Jaipur,Budget,4,59,47009.08
160413,Hotel_412,Jaipur,Business,4,1010,21530.39
160414,Hotel_413,Bengaluru,Budget,3,969,45204.61
160415,Hotel_414,Bengaluru,Business,3,909,14935.6
160416,Hotel_415,Bengaluru,Business,3,568,38979.7
160417,Hotel_416,Bengaluru,Budget,2,378,6240.65
160418,Hotel_417,Mumbai,Budget,4,809,11752.26
160419,Hotel_418,Goa,Boutique,5,332,22975.63
160420,Hotel_419,Jaipur,Budget,3,1187,48610.13
160421,Hotel_420,Bengaluru,Business,5,624,13576.23
160422,Hotel_421,Singapore,Resort,5,287,28477.56
160423,Hotel_422,Goa,Luxury,3,1014,22709.89
160424,Hotel_423,Goa,Boutique,3,1071,10432.28
160425,Hotel_424,Delhi,Business,3,629,10769.04
160426,Hotel_425,Dubai,Business,2,265,46958.22
160427,Hotel_426,Goa,Budget,4,753,18873.17
160428,Hotel_427,Jaipur,Resort,4,392,33692.53
160429,Hotel_428,Bengaluru,Luxury,3,234,31079.71
160430,Hotel_429,Mumbai,Budget,4,234,37599.61
160431,Hotel_430,Delhi,Budget,3,202,15737.19
160432,Hotel_431,London,Resort,4,911,29387.34
160433,Hotel_432,Jaipur,Boutique,3,976,28058.67
160434,Hotel_433,Dubai,Resort,3,303,40913.58
160435,Hotel_434,London,Boutique,3,989,5017.83
160436,Hotel_435,Jaipur,Business,3,481,32370.6
160437,Hotel_436,Mumbai,Budget,2,1101,45522.68
160438,Hotel_437,Mumbai,Resort,3,1044,5569.97
160439,Hotel_438,Jaipur,Resort,5,96,1849.52
160440,Hotel_439,Dubai,Resort,4,546,37660.52
160441,Hotel_440,Delhi,Budget,4,722,39550.81
160442,Hotel_441,Delhi,Luxury,3,536,22942.13
160443,Hotel_442,Mumbai,Boutique,4,482,41609.69
160444,Hotel_443,Dubai,Resort,4,347,8455.99
160445,Hotel_444,London,Boutique,2,1126,36344.72
160446,Hotel_445,Jaipur,Luxury,4,114,3687.86
160447,Hotel_446,Singapore,Boutique,4,1135,38397.23
160448,Hotel_447,Dubai,Business,4,727,12633.57
160449,Hotel_448,Mumbai,Boutique,3,658,16345.27
160450,Hotel_449,Delhi,Resort,5,1045,1917.29
160451,Hotel_450,Singapore,Budget,4,70,42955.71
160452,Hotel_451,Singapore,Boutique,4,89,25905.43
160453,Hotel_452,Mumbai,Business,2,30,28675.96
160454,Hotel_453,Mumbai,Budget,2,37,46191.45
160455,Hotel_454,Singapore,Resort,2,346,44853.6
160456,Hotel_455,Jaipur,Resort,5,883,14696.58
160457,Hotel_456,Bengaluru,Business,4,910,30560.32
160458,Hotel_457,Mumbai,Business,3,542,4747.24
160459,Hotel_458,Bengaluru,Budget,2,202,19581.19
160460,Hotel_459,Dubai,Resort,3,407,15725.48
160461,Hotel_460,Goa,Boutique,5,763,31944.16
160462,Hotel_461,Dubai,Resort,4,745,19009.46
160463,Hotel_462,Bengaluru,Business,2,370,6669.22
160464,Hotel_463,Jaipur,Resort,4,758,17599.66
160465,Hotel_464,Delhi,Budget,5,1056,1463.69
160466,Hotel_465,London,Luxury,4,799,30865.06
160467,Hotel_466,Singapore,Budget,4,858,18485.97
160468,Hotel_467,Singapore,Boutique,2,232,6007.55
160469,Hotel_468,Goa,Boutique,4,1161,38788.47
160470,Hotel_469,Jaipur,Boutique,3,161,10478.37
160471,Hotel_470,Goa,Budget,3,524,16204.73
160472,Hotel_471,Mumbai,Resort,4,1051,5266.71
160473,Hotel_472,Goa,Resort,4,203,28177.28
160474,Hotel_473,London,Budget,4,844,40297.05
160475,Hotel_474,Delhi,Business,4,279,3645.4
160476,Hotel_475,Jaipur,Resort,2,1198,8665.12
160477,Hotel_476,London,Luxury,4,807,41555.79
160478,Hotel_477,London,Resort,5,676,6702.88
160479,Hotel_478,Goa,Luxury,5,520,12322.28
160480,Hotel_479,Mumbai,Budget,4,1141,17147.72
160481,Hotel_480,Delhi,Budget,4,1176,24075.43
160482,Hotel_481,Singapore,Budget,5,136,5153.52
160483,Hotel_482,Singapore,Luxury,3,583,25927.4
160484,Hotel_483,Dubai,Budget,3,1018,12764.25
160485,Hotel_484,Bengaluru,Luxury,5,1002,2408.95
160486,Hotel_485,Singapore,Budget,3,103,44218.03
160487,Hotel_486,Dubai,Budget,5,591,48824.93
160488,Hotel_487,Jaipur,Resort,5,1071,29935.93
160489,Hotel_488,Delhi,Luxury,3,439,42677.51
