Booking_ID,Guest_ID,Hotel_ID,Booking_Date,Checkin_Date,Nights,Rooms_Booked,Channel,Status,Room_Rate,Discount_Pct
20000068,1533985.0,161391.0,2024-09-23 07:20:28,2024-10-10 19:11:27,11,4,Travel Agent,Cancelled,6060.74,5
20000069,1511502.0,160767.0,2024-08-15 09:11:35,2025-09-24 21:00:07,14,1,App,No Show,38120.2,0
20000070,1521721.0,160977.0,2024-02-08 06:54:34,2025-07-02 10:25:09,14,1,OTA,Confirmed,17159.89,15
20000071,1504920.0,161916.0,2024-06-19 15:53:56,2024-06-06 07:58:23,11,3,Travel Agent,Confirmed,42645.87,10
20000072,1509624.0,161654.0,2024-10-24 08:05:26,2025-01-12 15:00:42,2,4,OTA,Confirmed,30884.11,25
20000073,1525576.0,161387.0,2024-03-17 14:38:23,2024-07-03 16:32:39,9,1,Travel Agent,Confirmed,42051.25,25
20000074,1524098.0,161479.0,2023-07-20 01:00:58,2025-11-18 05:57:37,8,2,Travel Agent,Confirmed,10159.86,0
20000075,1503946.0,160975.0,2023-09-03 00:26:38,2024-10-03 06:54:37,2,4,Website,Cancelled,42709.09,25
20000076,1503603.0,161442.0,2024-02-25 22:43:03,2025-01-23 10:40:06,11,3,OTA,Confirmed,29648.55,15
20000077,1519428.0,161552.0,2025-07-30 22:56:20,2024-11-03 11:38:04,4,1,OTA,Confirmed,35038.09,15
20000078,1511319.0,160021.0,2023-10-01 18:37:33,2023-08-03 10:06:59,5,4,Travel Agent,Cancelled,33041.78,15
20000079,1534186.0,160767.0,2023-07-17 10:49:40,2023-12-20 10:07:29,2,1,Website,Confirmed,6321.47,15
20000080,1526383.0,161658.0,2025-05-06 04:22:38,2023-11-08 12:32:59,8,3,Corporate,Confirmed,20325.95,10
20000081,1526599.0,162000.0,2025-04-27 15:06:30,2024-12-16 14:18:21,5,3,Website,CONFIRMED,38131.05,10
20000082,1516234.0,161146.0,2024-04-03 06:20:06,2025-11-25 21:34:17,10,3,OTA,Confirmed,15581.21,10
20000083,1524539.0,160062.0,2023-11-19 04:53:02,2025-08-26 10:05:08,9,2,Website,Cancelled,18290.67,15
20000084,1513893.0,161813.0,2025-02-03 01:39:45,2023-05-27 11:30:29,7,2,OTA,Cancelled,23191.55,0
20000085,1506849.0,160699.0,2024-04-10 01:27:22,2024-07-13 07:59:39,12,1,OTA,Confirmed,11066.28,10
20000086,1503071.0,160734.0,2024-09-21 20:29:50,2024-11-13 14:57:37,6,4,Website,Completed,13877.61,0
20000087,1525405.0,161328.0,2025-09-18 17:20:46,2023-10-11 10:33:49,3,4,App,Completed,17468.41,0
20000088,1519609.0,160931.0,2025-01-04 00:16:28,2025-07-20 22:03:11,5,2,Travel Agent,Confirmed,9146.57,0
20000089,1534439.0,161182.0,2025-01-04 08:54:20,2025-06-09 09:17:58,1,4,Corporate,Completed,16745.67,10
20000090,1529697.0,161369.0,2025-11-04 06:54:54,2024-04-19 02:16:50,3,3,App,Confirmed,24514.39,15
20000091,1530885.0,161131.0,2025-09-26 12:57:27,2024-12-17 19:57:46,1,4,OTA,Confirmed,43006.7,10
20000092,1524956.0,160577.0,2024-01-15 19:28:56,2023-04-16 09:14:03,6,1,Travel Agent,Cancelled,35430.24,0
20000093,1525982.0,161479.0,2023-05-26 19:43:09,2025-02-11 17:06:03,13,2,OTA,No Show,36686.34,5
20000094,1535708.0,161468.0,2024-02-28 06:53:44,2023-03-04 23:09:33,13,1,App,Confirmed,42675.07,20
20000095,1539759.0,161279.0,2024-11-10 23:02:04,2024-06-19 23:26:58,3,3,OTA,Completed,19383.83,5
20000096,1519225.0,160987.0,2024-10-06 06:53:15,2023-04-11 18:10:26,3,1,OTA,Completed,3108.05,5
20000097,1503565.0,161204.0,2024-02-04 22:44:19,2023-02-25 00:34:21,4,4,Travel Agent,Confirmed,35404.27,25
20000098,1509936.0,161120.0,2023-11-07 15:07:04,2025-05-08 00:23:17,2,2,OTA,Cancelled,14006.82,20
20000099,1534206.0,161399.0,2024-03-06 20:28:28,2023-01-31 05:32:55,11,4,Website,Confirmed,2840.25,20
20000100,1539739.0,160983.0,2023-05-21 09:42:34,2025-03-29 15:36:17,13,1,Travel Agent,No Show,23265.43,0
20000101,1526817.0,161540.0,2024-09-10 18:17:59,2024-04-20 23:01:18,12,3,Travel Agent,Confirmed,2385.09,20
20000102,1525522.0,161078.0,2025-03-09 00:00:42,2024-12-05 04:45:54,7,1,OTA,Confirmed,16769.0,10
20000103,1504854.0,160394.0,2024-04-02 01:29:29,2023-11-07 19:30:38,8,1,App,Confirmed,3977.27,15
20000104,1527684.0,161779.0,2025-05-03 13:32:28,2024-06-28 18:54:43,1,2,Corporate,Confirmed,18751.34,0
20000105,1503840.0,161805.0,2024-07-12 03:24:52,2025-06-02 22:04:19,11,3,Travel Agent,Cancelled,31788.71,5
20000106,1524791.0,161933.0,2024-12-13 04:19:06,2025-03-26 07:31:47,8,3,Travel Agent,Cancelled,42527.44,15
20000107,1503096.0,160553.0,2024-06-16 07:00:24,2025-03-12 03:05:52,4,2,OTA,No Show,29385.04,0
20000108,1502933.0,161688.0,2023-03-20 07:23:36,2023-07-02 04:50:05,14,2,Corporate,Confirmed,19927.67,5
20000109,1522390.0,160520.0,2023-01-06 13:07:34,2024-07-18 06:37:05,1,1,Website,Completed,34771.16,0
20000110,1533004.0,161360.0,2023-12-18 14:59:00,2025-01-08 17:01:53,1,1,App,Confirmed,15358.92,0
20000111,1503881.0,161625.0,2024-08-23 03:02:53,2024-04-19 16:09:10,13,3,OTA,Confirmed,31928.65,0
20000112,1509547.0,160832.0,2025-06-24 17:16:30,2024-11-11 07:10:41,14,1,OTA,Confirmed,42784.85,15
20000113,1505707.0,161415.0,2024-08-03 12:16:39,2025-09-19 02:10:47,4,2,Website,Confirmed,8997.97,25
20000114,1536354.0,160021.0,2024-12-15 01:57:21,2025-08-25 13:23:49,2,2,App,Confirmed,42984.65,5
20000115,1532113.0,160867.0,2025-01-05 16:41:20,2024-11-30 08:14:32,5,2,Travel Agent,Confirmed,3619.88,5
20000116,1524477.0,160539.0,2024-04-29 08:20:40,2024-11-10 11:06:25,12,2,Corporate,Confirmed,18077.54,0
20000117,1516695.0,160092.0,2024-12-03 23:39:09,2024-12-23 17:28:10,7,4,Travel Agent,Completed,30663.2,20
20000118,1517272.0,160716.0,2024-12-04 14:12:56,2024-10-11 15:11:35,2,4,Travel Agent,Confirmed,13279.37,25
20000119,1530939.0,160772.0,2023-02-19 18:11:41,2024-07-15 01:38:00,7,4,Travel Agent,Completed,26478.55,15
20000120,1527136.0,160380.0,2025-02-27 02:31:16,2025-12-22 02:56:26,6,2,Corporate,Completed,16176.98,20
20000121,1523826.0,161948.0,2023-12-28 17:37:47,2023-05-01 10:02:03,7,4,Website,Confirmed,42801.69,25
20000122,1538971.0,161527.0,2023-05-22 21:35:33,2023-05-06 04:22:08,1,4,Corporate,Completed,39793.84,20
20000123,1507541.0,160454.0,2025-06-04 06:40:17,2025-08-19 00:15:49,7,2,Website,Confirmed,44112.66,5
20000124,1527326.0,161518.0,2024-01-21 17:45:56,2024-05-04 20:54:18,2,2,App,Completed,44214.89,10
20000125,1518029.0,160483.0,2023-12-10 23:29:29,2025-05-12 13:13:07,11,3,Travel Agent,Confirmed,15993.2,20
20000126,1504761.0,161365.0,2024-06-15 16:32:35,2024-04-17 01:07:09,13,3,OTA,Confirmed,20197.7,10
20000127,1522851.0,160756.0,2023-06-06 08:37:55,2025-08-26 03:15:07,2,3,App,Confirmed,44030.15,15
20000128,1527171.0,161176.0,2024-06-30 04:38:47,2025-10-30 18:55:13,11,2,Corporate,Confirmed,27073.79,10
20000129,1526116.0,160023.0,2023-10-02 07:30:50,2025-10-19 05:43:19,7,1,Corporate,Cancelled,4537.4,5
20000130,1510689.0,160183.0,2024-07-31 15:30:54,2023-01-21 02:22:53,12,3,Corporate,Confirmed,12675.38,20
20000131,1510740.0,160323.0,2025-02-05 04:44:34,2024-05-07 13:34:19,3,2,Corporate,Confirmed,6864.62,20
20000132,1516958.0,160163.0,2025-07-20 07:35:19,2024-07-13 09:00:07,14,1,Website,Confirmed,3211.87,20
20000133,1515769.0,161047.0,2024-06-13 01:05:16,2023-09-01 18:21:51,1,2,OTA,Confirmed,31543.81,25
20000134,1527824.0,160528.0,2024-03-31 14:51:51,2023-01-31 07:56:09,6,2,App,Confirmed,21670.82,15
20000135,1536137.0,161200.0,2024-06-13 16:36:16,2024-11-30 19:17:15,3,1,App,Confirmed,41668.85,10
20000136,1535551.0,161784.0,2023-02-10 05:41:11,2025-02-04 12:52:11,8,1,App,Cancelled,37010.25,10
20000137,1517487.0,160261.0,2025-10-24 21:08:01,2024-04-20 21:53:10,11,2,Corporate,No Show,42978.76,5
20000138,1503388.0,161556.0,2024-01-09 19:05:12,2025-04-13 14:43:26,10,2,Website,Completed,9808.15,15
20000139,1529170.0,160709.0,2024-10-07 05:54:22,2023-03-28 20:55:34,9,1,Website,Confirmed,23376.73,15
20000140,1519550.0,160858.0,2025-10-10 14:36:27,2023-09-13 08:23:09,14,1,Corporate,No Show,36813.02,5
20000141,1516347.0,161653.0,2025-08-02 16:12:08,2025-03-27 23:42:41,4,1,Travel Agent,Completed,36976.16,20
20000142,1521148.0,160034.0,2024-08-05 00:07:32,2024-11-16 11:07:05,3,1,App,Cancelled,33541.89,0
20000143,1503448.0,161744.0,2024-01-29 17:40:11,2024-07-09 10:37:02,10,2,Website,Confirmed,7693.52,0
20000144,1523915.0,161994.0,2025-04-19 07:50:36,2023-01-30 18:50:45,12,4,OTA,Confirmed,15739.6,25
20000145,1520093.0,160820.0,2024-11-11 12:02:39,2024-03-20 14:25:50,1,4,Travel Agent,Completed,20344.78,25
20000146,1533392.0,161980.0,2024-09-20 14:52:50,2023-03-28 09:24:23,4,3,Corporate,Confirmed,36295.47,15
20000147,1528362.0,160256.0,2023-08-10 18:43:37,2023-04-01 04:49:44,7,4,OTA,Confirmed,43511.23,15
20000148,1526143.0,160890.0,2025-12-09 08:17:26,2023-02-21 14:06:29,4,3,App,Completed,37158.23,20
20000149,1526150.0,160488.0,2024-08-16 11:29:10,2023-07-18 04:49:56,6,4,OTA,Confirmed,43269.16,15
20000150,1536460.0,161858.0,2023-05-08 11:20:26,2023-03-11 17:02:00,3,3,Travel Agent,Cancelled,8776.21,20
20000151,1527363.0,161840.0,2025-05-05 09:56:17,2025-07-13 14:36:08,2,4,OTA,Confirmed,19029.59,15
20000152,1517661.0,161300.0,2025-10-31 23:13:36,2023-01-14 13:37:01,3,2,Travel Agent,Completed,11529.82,10
20000153,1506243.0,160015.0,2024-11-28 20:12:00,2024-08-05 14:08:17,5,3,Travel Agent,Confirmed,8966.05,15
20000154,1518415.0,160404.0,,2025-02-17 00:47:03,13,2,Corporate,No Show,11844.76,10
20000155,1503680.0,160151.0,2025-02-14 04:33:38,2023-06-28 00:00:55,1,4,App,Confirmed,7793.53,20
20000156,1536906.0,160502.0,2025-12-25 10:55:12,2023-08-06 04:36:43,12,2,Website,Confirmed,36589.7,0
20000157,1516614.0,161284.0,2025-11-27 18:50:48,2023-02-13 12:57:49,10,1,Corporate,Completed,13917.15,25
20000158,1529402.0,161609.0,2025-09-07 14:37:53,2024-05-26 05:37:15,2,3,OTA,Completed,26239.63,20
20000159,1533780.0,161812.0,2023-02-05 17:23:13,2023-01-24 04:34:26,7,1,Corporate,Confirmed,27562.19,0
20000160,1502974.0,161693.0,2023-04-18 11:51:30,2023-04-08 09:49:01,5,2,Travel Agent,Confirmed,21857.26,15
20000161,1524970.0,160305.0,2025-06-02 12:44:45,2024-06-17 12:16:18,2,2,Website,Cancelled,34200.24,25
20000162,1518979.0,160125.0,2024-09-18 10:02:50,2025-01-05 15:28:18,3,2,Corporate,Completed,14514.01,10
20000163,1516137.0,160259.0,2025-11-03 14:44:16,2023-09-17 11:49:49,9,3,Travel Agent,Confirmed,42874.76,20
20000164,1523631.0,160052.0,2023-02-18 08:43:09,2023-05-08 07:02:03,10,1,OTA,Confirmed,5967.38,20
20000165,1511203.0,160520.0,2025-02-18 08:08:08,2024-05-01 14:13:42,9,1,App,Cancelled,5803.52,25
20000166,1504104.0,160595.0,2025-11-15 03:21:21,2023-02-22 09:11:44,8,3,Travel Agent,Confirmed,4363.09,0
20000167,1536698.0,161343.0,2025-06-02 00:38:47,2023-11-14 11:11:02,13,1,App,Confirmed,38011.62,15
20000168,1514022.0,160469.0,2023-12-10 11:31:43,2025-04-24 01:09:25,11,4,Travel Agent,Confirmed,32239.49,15
20000169,1538576.0,160252.0,2025-09-23 06:50:37,2024-04-02 06:17:51,4,4,Corporate,Confirmed,1571.19,10
20000170,1525224.0,161275.0,2025-03-28 09:43:55,2024-06-10 13:46:14,10,2,Travel Agent,Confirmed,33644.96,5
20000171,1528262.0,161180.0,2024-05-25 23:42:04,2025-05-19 21:46:54,10,3,Travel Agent,Confirmed,31129.85,0
20000172,1538621.0,161537.0,2025-07-06 19:06:27,2023-01-19 11:19:31,1,4,Website,Completed,35099.86,20
20000173,1511685.0,160550.0,2023-04-19 10:51:47,2024-08-26 08:01:02,9,3,App,Confirmed,37864.13,5
20000174,1526457.0,160880.0,2024-12-03 23:04:09,2023-08-28 19:02:52,12,1,Travel Agent,Completed,19264.16,0
20000175,1515032.0,161303.0,2024-11-05 14:18:43,2024-06-29 15:44:40,8,3,App,Cancelled,44817.27,25
20000176,1501441.0,161813.0,2025-03-11 12:46:15,2025-06-28 11:27:10,11,4,App,Confirmed,25670.75,5
20000177,1538503.0,160233.0,2025-08-09 19:52:27,2024-10-31 20:45:19,4,1,OTA,Completed,4423.6,20
20000178,1504436.0,160206.0,2024-01-28 10:00:43,2024-05-17 01:59:45,7,3,Travel Agent,Completed,35259.41,0
20000179,1520434.0,161872.0,2023-02-14 02:35:24,2023-09-15 04:02:08,1,4,Travel Agent,Confirmed,24458.11,25
20000180,1511793.0,161311.0,2024-02-28 16:53:37,2023-01-31 04:02:55,14,2,OTA,Confirmed,43985.52,5
20000181,1503728.0,161536.0,2024-01-08 08:48:18,2025-09-21 22:21:36,8,2,Website,Confirmed,30556.82,15
20000182,1539490.0,160090.0,2023-06-17 16:30:59,2023-07-04 02:08:50,10,1,OTA,Confirmed,12430.3,20
20000183,1500798.0,161680.0,2024-06-01 12:48:04,2024-06-12 02:21:34,5,2,App,Confirmed,18023.61,0
20000184,1525701.0,160908.0,2023-04-07 17:02:24,2025-06-08 02:13:02,1,3,Corporate,Confirmed,19728.1,20
20000185,1516961.0,160419.0,2024-09-22 14:24:51,2025-09-12 21:37:11,6,3,Travel Agent,Confirmed,25536.69,25
20000186,1505357.0,160465.0,2023-01-28 02:48:30,2023-01-17 08:49:25,13,3,App,Confirmed,27987.95,5
20000187,1500736.0,161881.0,2023-01-24 17:21:58,2024-05-06 03:26:47,1,3,App,Confirmed,12785.43,5
20000188,1500761.0,161255.0,2024-04-29 17:07:46,2023-06-03 08:34:41,1,4,OTA,Confirmed,44459.67,0
20000189,1513184.0,161386.0,2023-10-11 15:58:00,2023-09-28 17:30:48,14,3,Corporate,No Show,32187.52,10
20000190,1504074.0,160733.0,2023-10-09 11:27:50,2024-05-07 16:28:23,2,4,App,Confirmed,19432.78,5
20000191,1507949.0,161548.0,2025-04-20 14:41:48,2023-07-04 16:08:27,10,4,Travel Agent,Confirmed,24233.37,10
20000192,1505096.0,160090.0,2025-11-09 05:27:15,2025-01-09 20:30:39,1,1,Website,Confirmed,16821.47,20
20000193,1529115.0,161889.0,2023-06-21 21:02:50,2024-04-27 04:46:40,10,2,Website,Confirmed,33502.39,15
20000194,1500608.0,160456.0,2025-01-09 19:23:26,2024-12-22 10:42:31,10,4,Travel Agent,CANCELLED,16269.48,20
20000195,1517342.0,160031.0,2024-01-28 13:02:26,2023-09-28 23:32:47,13,2,App,Confirmed,19688.84,5
20000196,1522888.0,161511.0,2025-06-28 18:48:17,2024-11-24 06:10:49,13,1,OTA,Confirmed,44856.31,25
20000197,1517284.0,160814.0,2023-07-24 13:59:47,2024-04-07 15:38:57,13,1,Website,Confirmed,25674.42,20
20000198,1524821.0,161591.0,2025-03-09 01:58:39,2025-12-29 20:30:31,10,1,Corporate,Confirmed,44149.48,25
20000199,1504147.0,161014.0,2023-12-18 12:17:45,2024-01-11 20:01:00,12,1,OTA,Completed,38787.39,15
20000200,1533537.0,160905.0,2025-09-25 02:15:16,2024-10-18 18:59:16,13,3,OTA,Confirmed,27508.56,25
20000201,1537269.0,161854.0,2024-08-13 19:40:07,2023-02-14 03:30:17,8,1,Corporate,Confirmed,44817.76,25
20000202,1525984.0,161662.0,2024-10-20 05:55:56,2024-11-07 02:03:20,8,2,App,Completed,11985.87,25
20000203,1517333.0,161990.0,2024-08-27 17:07:34,2023-02-18 07:59:17,11,4,Travel Agent,Completed,1580.88,15
20000204,1517369.0,160736.0,2025-12-29 21:27:31,2023-04-18 22:39:43,12,2,App,Cancelled,30544.41,25
20000205,1527809.0,161100.0,2025-02-17 00:57:40,2024-11-12 11:28:40,10,4,OTA,Confirmed,23187.31,20
20000206,1501079.0,161585.0,2024-10-04 01:47:55,2025-02-19 12:16:51,1,4,Corporate,Completed,1635.4,0
20000207,1515909.0,160849.0,2024-01-29 20:07:29,2025-01-16 03:09:10,4,1,App,Cancelled,35771.06,5
20000208,1501543.0,161362.0,2025-02-20 14:47:14,2024-05-02 09:17:13,4,1,Corporate,Confirmed,19924.07,15
20000209,1508897.0,161756.0,2025-02-15 13:05:44,2024-11-24 06:19:43,8,2,Corporate,Completed,36605.74,10
20000210,1509154.0,161965.0,2023-07-26 08:46:04,2025-04-01 05:40:53,8,1,OTA,Cancelled,31095.2,0
20000211,1510151.0,161924.0,2025-10-23 19:46:45,2025-05-24 07:58:10,8,4,Website,Cancelled,19507.45,15
20000212,1525508.0,161622.0,2024-04-27 17:28:08,2024-05-25 06:13:24,8,1,OTA,Confirmed,24068.7,10
20000213,1532935.0,160155.0,2025-03-11 22:19:07,2025-02-01 14:38:01,3,2,App,Confirmed,33562.66,25
20000214,1518308.0,161587.0,2023-02-09 02:13:46,2024-11-21 18:17:48,10,3,Travel Agent,Confirmed,22444.87,20
20000215,1512471.0,160905.0,2025-10-27 18:22:57,2025-04-05 23:06:47,9,3,Corporate,Confirmed,8503.75,20
20000216,1519572.0,161848.0,2023-12-19 20:10:32,2023-07-10 23:55:36,13,2,Travel Agent,Completed,38309.34,0
20000217,1539126.0,161857.0,2023-02-15 18:26:11,2025-11-10 10:29:46,12,4,Corporate,Confirmed,38296.92,10
20000218,1520939.0,161629.0,2025-06-13 15:45:29,2025-07-20 06:26:36,7,2,App,Completed,25531.19,25
20000219,1536371.0,161219.0,2024-05-18 00:14:38,2025-06-23 00:58:11,3,1,OTA,Confirmed,32911.15,0
20000220,1515738.0,160286.0,2023-04-29 09:00:48,2025-10-28 16:03:24,11,2,OTA,Confirmed,21434.26,25
20000221,1536894.0,161151.0,2023-04-06 13:12:42,2025-10-13 05:33:33,5,3,Corporate,Confirmed,14369.14,5
20000222,1525235.0,160453.0,2024-10-29 20:28:03,2025-11-17 11:52:14,7,3,Website,Confirmed,3353.33,10
20000223,1535346.0,161994.0,2023-02-26 14:21:43,2023-01-22 23:47:07,11,1,App,Completed,26391.94,20
20000224,1504878.0,161095.0,2024-07-18 22:39:53,2024-11-26 00:53:26,1,3,Corporate,Confirmed,11352.87,5
