Staff_ID,Hotel_ID,Department,Role,Shift,Monthly_Salary
240162,160918,Housekeeping,Supervisor,Morning,102125.52
240163,160441,Housekeeping,Executive,Evening,61332.95
240164,161333,Maintenance,Technician,Evening,174025.27
240165,160906,Maintenance,Associate,Night,150068.11
240166,161521,Maintenance,Chef,Morning,169861.67
240167,160402,Food & Beverage,Technician,Evening,35468.27
240168,161813,Housekeeping,Manager,Morning,52128.99
240169,160484,Front Office,Associate,Evening,44571.32
240170,161025,Front Office,Technician,Evening,147162.21
240171,161067,Sales,Executive,Evening,161902.02
240172,160676,Food & Beverage,Executive,Night,109581.43
240173,160002,Sales,Technician,Morning,50036.22
240174,161525,Housekeeping,Chef,Night,95050.89
240175,160735,Front Office,Executive,Night,71354.67
240176,160835,Front Office,Manager,Evening,145219.93
240177,160552,Housekeeping,Supervisor,Evening,33771.44
240178,161023,Sales,Manager,Night,155404.93
240179,161658,Maintenance,Technician,Evening,164108.36
240180,161951,Food & Beverage,Technician,Night,157183.75
240181,161462,Sales,Executive,Morning,49620.39
240182,160885,Housekeeping,Associate,Morning,33722.15
240183,160575,Front Office,Supervisor,Evening,153965.55
240184,160441,Front Office,Supervisor,Night,63122.18
240185,160100,Sales,Manager,Evening,31052.61
240186,161461,Front Office,Manager,Night,51246.29
240187,161339,Food & Beverage,Technician,Morning,172452.02
240188,161280,Maintenance,Technician,Night,105735.18
240189,161468,Front Office,Executive,Night,157971.79
240190,161665,Housekeeping,Chef,Evening,48766.93
240191,161168,Housekeeping,Manager,Morning,119499.54
240192,161331,Front Office,Chef,Night,151529.95
240193,160029,Sales,Manager,Evening,43203.47
240194,161792,Maintenance,Technician,Evening,68112.76
240195,160845,Maintenance,Chef,Morning,151600.1
240196,160617,Housekeeping,Supervisor,Evening,71167.84
240197,160855,Maintenance,Executive,Night,172463.34
240198,160427,Housekeeping,Associate,Evening,168278.69
240199,160452,Front Office,Supervisor,Evening,161615.98
240200,161555,Sales,Associate,Evening,143944.42
240201,161008,Food & Beverage,Executive,Morning,119754.78
240202,160136,Front Office,Executive,Night,121306.63
240203,160517,Housekeeping,Associate,Night,146648.58
240204,161459,Maintenance,Executive,Evening,136749.38
240205,160388,Sales,Supervisor,Morning,95032.25
240206,161593,Front Office,Chef,Evening,90646.65
240207,160779,Housekeeping,Associate,Evening,170252.06
240208,160782,Maintenance,Chef,Morning,77610.38
240209,161325,Maintenance,Supervisor,Morning,159404.63
240210,160327,Maintenance,Associate,Night,133855.38
240211,160860,Housekeeping,Technician,Morning,63350.49
240212,160058,Food & Beverage,Supervisor,Evening,72241.77
240213,161187,Sales,Associate,Morning,18370.08
240214,160701,Housekeeping,Executive,Morning,61112.04
240215,160736,Housekeeping,Executive,Evening,90900.5
240216,160009,Housekeeping,Chef,Night,106185.17
240217,160328,Front Office,Executive,Morning,177086.64
240218,160767,Maintenance,Chef,Morning,139584.94
240219,160648,Sales,Technician,Night,102258.05
240220,160285,Maintenance,Chef,Evening,59370.47
240221,161357,Front Office,Associate,Evening,148391.75
240222,161106,Housekeeping,Supervisor,Evening,84100.8
240223,160098,Sales,Chef,Night,87733.31
240224,161731,Food & Beverage,Chef,Evening,61122.3
240225,160440,Sales,Associate,Evening,52268.57
240226,161708,Housekeeping,Chef,Evening,35702.34
240227,161474,Food & Beverage,Chef,Morning,138487.74
240228,160123,Front Office,Chef,Evening,81823.94
240229,161215,Sales,Executive,Evening,112965.71
240230,160535,Maintenance,Supervisor,Night,153228.08
240231,161598,Maintenance,Technician,Night,123808.69
240232,161959,Front Office,Supervisor,Night,42598.57
240233,160817,Front Office,Chef,Evening,62365.53
240234,160971,Sales,Manager,Night,140711.83
240235,161721,Food & Beverage,Executive,Night,68471.39
240236,161587,Food & Beverage,Technician,Night,101251.2
240237,161684,Housekeeping,Associate,Evening,50462.66
240238,160780,Housekeeping,Associate,Morning,132965.75
240239,161515,Housekeeping,Executive,Morning,65966.23
240240,160052,Housekeeping,Associate,Morning,101456.32
240241,160592,Housekeeping,Manager,Evening,95550.26
240242,161455,Food & Beverage,Chef,Night,115965.07
240243,160332,Housekeeping,Associate,Evening,35513.49
240244,161507,Housekeeping,Executive,Night,126455.05
240245,160650,Housekeeping,Associate,Night,143707.58
240246,160097,Sales,Technician,Evening,156230.15
240247,161040,Front Office,Technician,Morning,90276.45
240248,161791,Food & Beverage,Chef,Morning,156031.2
240249,161664,Housekeeping,Chef,Night,35892.17
240250,160895,Front Office,Technician,Evening,61136.76
240251,160634,Sales,Executive,Morning,26110.08
240252,161352,Food & Beverage,Technician,Night,26082.69
240253,160604,Sales,Technician,Evening,43011.44
240254,161945,Sales,Associate,Evening,40137.52
240255,160190,Maintenance,Manager,Night,85699.05
240256,160233,Front Office,Associate,Morning,25586.66
240257,161883,Food & Beverage,Associate,Night,156673.96
240258,161680,Food & Beverage,Technician,Night,34328.13
240259,160539,Sales,Supervisor,Night,114657.32
240260,160372,Food & Beverage,Technician,Night,133282.98
240261,161910,Front Office,Supervisor,Morning,31473.78
240262,161806,Housekeeping,Associate,Evening,105657.58
240263,161661,Housekeeping,Executive,Night,46443.65
240264,161822,Maintenance,Associate,Night,113031.5
240265,160464,Food & Beverage,Executive,Morning,38281.21
240266,160936,Food & Beverage,Associate,Night,72812.64
240267,161947,Maintenance,Manager,Evening,125494.32
240268,161565,Sales,Chef,Night,124374.41
240269,161162,Sales,Supervisor,Morning,45021.31
240270,161592,Housekeeping,Technician,Evening,78017.25
240271,161550,Maintenance,Technician,Morning,52634.55
240272,160371,Food & Beverage,Chef,Evening,85739.86
240273,161180,Sales,Associate,Morning,134119.12
240274,161682,Maintenance,Chef,Evening,79588.31
240275,161570,Front Office,Manager,Morning,68162.75
240276,160091,Food & Beverage,Chef,Night,40281.61
240277,160718,Front Office,Chef,Evening,143331.64
240278,161308,Sales,Executive,Night,107737.42
240279,161048,Food & Beverage,Associate,Night,18646.6
240280,160320,Front Office,Manager,Morning,105933.97
240281,160222,Front Office,Manager,Evening,164999.08
240282,161598,Maintenance,Technician,Morning,169648.72
240283,161661,Front Office,Executive,Morning,114610.36
240284,161057,Sales,Manager,Evening,177949.97
240285,160178,Food & Beverage,Manager,Morning,113754.55
240286,160788,Food & Beverage,Supervisor,Morning,99269.31
240287,160080,Food & Beverage,Technician,Morning,158305.4
240288,161517,Sales,Associate,Evening,170287.91
240289,161337,Sales,Manager,Evening,23840.63
240290,160762,Housekeeping,Supervisor,Night,100876.44
240291,161680,Food & Beverage,Supervisor,Morning,177785.93
240292,161576,Front Office,Manager,Night,26806.79
240293,161864,Front Office,Executive,Evening,162865.16
240294,161789,Sales,Supervisor,Night,20742.49
240295,160040,Sales,Associate,Evening,122844.3
240296,160976,Food & Beverage,Manager,Evening,133230.2
240297,160960,Food & Beverage,Technician,Night,162644.33
240298,161657,Housekeeping,Associate,Night,139379.2
240299,160207,Maintenance,Technician,Morning,110094.26
240300,161134,Sales,Chef,Night,97226.27
240301,160793,Housekeeping,Manager,Evening,36532.27
240302,160246,Sales,Executive,Evening,42161.71
240303,161876,Sales,Technician,Night,136347.3
240304,161591,Sales,Executive,Morning,60276.89
240305,161994,Front Office,Supervisor,Evening,86421.89
240306,160947,Front Office,Supervisor,Evening,128697.31
240307,161773,Sales,Executive,Night,54603.13
240308,160368,Sales,Associate,Night,43928.67
240309,160478,Sales,Associate,Morning,124123.49
240310,160292,Sales,Associate,Night,75717.72
240311,160538,Sales,Supervisor,Morning,134062.01
240312,161593,Housekeeping,Manager,Evening,113395.97
240313,161785,Front Office,Executive,Night,115979.76
240314,161583,Food & Beverage,Technician,Evening,26410.59
240315,160804,Food & Beverage,Chef,Evening,76258.3
240316,160993,Front Office,Executive,Night,111949.54
240317,160408,Housekeeping,Technician,Evening,151878.78
240318,161367,Food & Beverage,Supervisor,Evening,158383.48
240319,161290,Food & Beverage,Technician,Night,123543.96
240320,161100,Food & Beverage,Associate,Night,87566.02
240321,160390,Sales,Manager,Evening,158521.08
240322,160307,Maintenance,Manager,Morning,72364.21
240323,161945,Sales,Manager,Night,128983.6
240324,160988,Sales,Supervisor,Night,45541.95
240325,160553,Housekeeping,Manager,Morning,169614.29
240326,160576,Sales,Executive,Morning,64502.48
240327,161994,Sales,Associate,Night,85195.95
240328,160958,Maintenance,Associate,Night,149258.4
240329,160122,Food & Beverage,Chef,Morning,42804.04
240330,160479,Sales,Chef,Evening,170356.11
240331,160490,Maintenance,Chef,Night,80190.57
240332,160518,Maintenance,Associate,Night,71418.62
240333,160060,Maintenance,Supervisor,Morning,64814.08
240334,161060,Front Office,Technician,Morning,170779.22
240335,161100,Housekeeping,Chef,Night,160339.65
240336,160252,Maintenance,Manager,Morning,118795.77
240337,160706,Food & Beverage,Supervisor,Morning,36973.13
240338,161319,Sales,Supervisor,Night,86737.23
240339,160403,Maintenance,Technician,Night,33758.67
240340,161700,Food & Beverage,Manager,Night,138677.52
240341,161220,Food & Beverage,Chef,Evening,152723.79
240342,161263,Food & Beverage,Manager,Morning,149997.35
240343,160757,Maintenance,Technician,Morning,114211.05
240344,160922,Sales,Manager,Morning,84465.09
240345,160254,Maintenance,Technician,Night,31109.65
240346,161311,Front Office,Technician,Morning,154451.16
240347,160998,Front Office,Associate,Morning,53084.29
240348,161962,Housekeeping,Supervisor,Morning,35929.89
240349,160708,Maintenance,Chef,Evening,78034.03
240350,161986,Food & Beverage,Chef,Evening,80792.96
240351,160074,Maintenance,Manager,Morning,131186.69
240352,161691,Front Office,Executive,Morning,110400.05
240353,161774,Sales,Associate,Evening,52667.95
240354,160250,Maintenance,Executive,Morning,112039.23
240355,161737,Maintenance,Executive,Evening,124501.89
240356,161359,Maintenance,Executive,Night,55540.64
240357,160917,Housekeeping,Associate,Evening,22991.02
240358,160681,Maintenance,Manager,Evening,53823.06
240359,160122,Maintenance,Chef,Night,130727.42
240360,161155,Sales,Associate,Night,93930.5
240361,160523,Maintenance,Executive,Morning,60716.39
240362,161949,Housekeeping,Technician,Night,147558.98
240363,161084,Food & Beverage,Chef,Night,81230.27
240364,161029,Sales,Manager,Evening,103125.28
240365,161007,Maintenance,Executive,Evening,114873.52
240366,160377,Food & Beverage,Chef,Evening,65202.69
240367,161822,Sales,Manager,Night,169693.86
240368,161619,Sales,Supervisor,Evening,161736.79
240369,160824,Maintenance,Associate,Night,69181.18
240370,161192,Food & Beverage,Supervisor,Night,45163.51
240371,160715,Housekeeping,Chef,Evening,97841.89
240372,160090,Maintenance,Supervisor,Morning,121400.08
240373,160639,Front Office,Technician,Evening,121788.93
240374,160888,Sales,Executive,Night,54904.48
240375,161082,Housekeeping,Supervisor,Night,174348.93
240376,161030,Housekeeping,Executive,Night,35249.99
240377,161110,Food & Beverage,Technician,Morning,135152.29
240378,161677,Sales,Chef,Morning,90133.01
240379,161664,Sales,Supervisor,Night,64879.65
240380,160364,Front Office,Technician,Evening,114028.21
240381,161950,Housekeeping,Supervisor,Morning,52162.93
240382,160337,Housekeeping,Associate,Morning,30616.76
240383,161767,Housekeeping,Chef,Evening,64642.08
240384,160188,Front Office,Associate,Night,116350.08
240385,160879,Sales,Chef,Morning,154246.75
240386,160294,Maintenance,Technician,Night,35949.67
240387,161398,Maintenance,Chef,Night,85714.45
240388,161697,Housekeeping,Supervisor,Night,64070.81
240389,161788,Food & Beverage,Chef,Evening,132511.73
240390,161104,Housekeeping,Manager,Evening,127439.87
240391,160270,Housekeeping,Technician,Night,130843.41
240392,160326,Maintenance,Manager,Night,127428.82
240393,161348,Maintenance,Technician,Night,179776.94
240394,161803,Maintenance,Supervisor,Evening,165537.37
240395,160738,Food & Beverage,Manager,Evening,40053.96
240396,160756,Food & Beverage,Technician,Evening,63265.37
240397,161764,Front Office,Executive,Night,153104.56
240398,161007,Maintenance,Executive,Night,121622.82
240399,161023,Food & Beverage,Executive,Morning,135327.76
240400,161261,Food & Beverage,Manager,Morning,88455.38
240401,160008,Sales,Associate,Night,161340.38
240402,160258,Sales,Manager,Evening,129193.96
240403,161390,Food & Beverage,Manager,Night,117192.1
240404,161779,Sales,Chef,Evening,123130.37
240405,160906,Front Office,Associate,Night,103034.67
240406,160065,Sales,Associate,Morning,153301.07
240407,160920,Food & Beverage,Manager,Night,49606.74
240408,160124,Sales,Technician,Evening,96980.56
240409,160700,Food & Beverage,Technician,Evening,157831.3
240410,161447,Sales,Chef,Evening,23226.82
240411,161684,Sales,Executive,Evening,168966.89
240412,161811,Sales,Chef,Night,151098.94
240413,160347,Food & Beverage,Technician,Evening,131078.21
240414,161423,Sales,Manager,Night,153327.11
240415,161404,Maintenance,Technician,Night,130445.03
240416,161242,Housekeeping,Manager,Night,146388.89
240417,161019,Maintenance,Chef,Evening,67305.01
240418,160293,Food & Beverage,Associate,Evening,101845.62
240419,160560,Maintenance,Technician,Morning,50146.45
240420,160277,Food & Beverage,Associate,Morning,134150.25
240421,160862,Sales,Supervisor,Evening,75179.38
240422,160763,Front Office,Associate,Night,35922.51
240423,160651,Sales,Technician,Morning,120696.99
240424,161126,Front Office,Executive,Morning,69044.89
240425,161347,Front Office,Supervisor,Morning,88707.03
240426,160524,Maintenance,Executive,Evening,133586.36
240427,161152,Sales,Supervisor,Night,107463.55
240428,161495,Sales,Chef,Evening,29410.35
240429,160489,Food & Beverage,Supervisor,Morning,147639.86
240430,161321,Front Office,Associate,Night,98334.09
240431,160198,Maintenance,Manager,Morning,44424.87
240432,160053,Front Office,Technician,Night,145001.84
240433,161819,Housekeeping,Supervisor,Morning,151706.8
240434,160348,Sales,Manager,Evening,148528.53
240435,160646,Food & Beverage,Supervisor,Night,163938.54
240436,161905,Front Office,Associate,Morning,179677.71
240437,160861,Front Office,Technician,Evening,22098.29
240438,160091,Sales,Manager,Evening,131072.93
240439,161680,Front Office,Supervisor,Night,43371.94
240440,160268,Maintenance,Supervisor,Evening,66047.6
240441,161129,Housekeeping,Chef,Morning,111347.3
240442,160496,Sales,Associate,Morning,105201.13
240443,161946,Sales,Technician,Morning,137784.65
240444,161255,Maintenance,Chef,Night,137019.17
240445,160933,Housekeeping,Supervisor,Morning,72978.17
240446,160524,Front Office,Associate,Night,57698.89
240447,161566,Maintenance,Chef,Night,159638.64
240448,161934,Maintenance,Supervisor,Morning,107668.03
240449,161103,Maintenance,Chef,Evening,104442.39
240450,161958,Housekeeping,Executive,Night,132496.95
240451,160728,Front Office,Technician,Morning,86298.74
240452,161127,Food & Beverage,Manager,Evening,169202.92
240453,161566,Maintenance,Technician,Morning,76259.51
240454,160655,Front Office,Executive,Night,153265.32
240455,161079,Housekeeping,Supervisor,Evening,110859.23
240456,160978,Maintenance,Chef,Morning,108241.57
240457,160463,Food & Beverage,Manager,Evening,65150.99
240458,161736,Housekeeping,Associate,Evening,40870.45
240459,160079,Front Office,Executive,Evening,67891.7
240460,161092,Sales,Chef,Evening,118148.0
240461,160761,Maintenance,Associate,Evening,89917.53
240462,161641,Maintenance,Manager,Evening,157341.72
240463,161092,Food & Beverage,Manager,Evening,25197.46
240464,160019,Front Office,Associate,Evening,142791.44
240465,161565,Maintenance,Manager,Morning,82852.18
240466,160480,Maintenance,Supervisor,Morning,106300.46
240467,161384,Housekeeping,Associate,Morning,176926.9
240468,160038,Front Office,Associate,Evening,177796.1
240469,160001,Maintenance,Technician,Evening,32851.06
240470,160511,Sales,Manager,Night,164825.26
240471,160366,Front Office,Associate,Evening,41807.09
240472,161907,Food & Beverage,Executive,Night,28673.2
240473,160285,Maintenance,Chef,Night,150871.48
240474,161937,Maintenance,Supervisor,Evening,100694.43
240475,160248,Front Office,Manager,Night,174183.21
240476,160271,Food & Beverage,Associate,Morning,120125.76
240477,160446,Sales,Chef,Evening,23407.21
240478,160716,Front Office,Associate,Morning,141949.81
240479,160305,Sales,Chef,Morning,33715.71
240480,161227,Housekeeping,Supervisor,Evening,24047.43
240481,160169,Front Office,Supervisor,Evening,47215.48
240482,160920,Front Office,Technician,Night,42705.57
240483,160349,Housekeeping,Executive,Night,129050.4
240484,161913,Housekeeping,Supervisor,Night,95924.53
240485,160628,Housekeeping,Associate,Evening,143150.42
240486,160860,Sales,Executive,Morning,79651.05
240487,161416,Housekeeping,Supervisor,Morning,110897.97
240488,160504,Sales,Associate,Night,168462.78
240489,161977,Food & Beverage,Supervisor,Evening,94155.41
240490,160126,Food & Beverage,Chef,Evening,116330.17
240491,160301,Sales,Executive,Evening,147473.84
240492,160977,Housekeeping,Chef,Night,65310.15
240493,161105,Sales,Technician,Morning,93082.33
240494,161190,Food & Beverage,Manager,Morning,176278.27
240495,160424,Housekeeping,Chef,Morning,83450.97
240496,160500,Front Office,Associate,Morning,75351.49
240497,160408,Front Office,Supervisor,Night,27205.04
240498,160797,Maintenance,Technician,Evening,175489.36
240499,160233,Housekeeping,Manager,Morning,41700.32
240500,161021,Sales,Technician,Night,154285.81
240501,161545,Food & Beverage,Supervisor,Evening,58469.55
240502,161731,Sales,Supervisor,Morning,168192.74
240503,161895,Housekeeping,Chef,Evening,138124.28
240504,160340,Housekeeping,Technician,Morning,108564.12
240505,160174,Food & Beverage,Supervisor,Night,48463.82
240506,161071,Front Office,Supervisor,Night,131386.33
240507,161462,Housekeeping,Manager,Evening,40274.41
240508,160024,Front Office,Executive,Night,122427.78
240509,160961,Maintenance,Technician,Evening,148921.45
240510,160582,Sales,Technician,Evening,43234.01
240511,160029,Maintenance,Manager,Night,164068.94
240512,160556,Housekeeping,Chef,Evening,21721.62
240513,160817,Front Office,Associate,Evening,26177.86
240514,161180,Sales,Chef,Morning,124189.0
240515,160769,Food & Beverage,Associate,Night,134690.08
240516,161374,Housekeeping,Technician,Night,54837.73
240517,161359,Sales,Executive,Morning,159790.61
240518,160784,Front Office,Associate,Morning,45819.83
240519,161428,Sales,Technician,Morning,160123.94
240520,160841,Housekeeping,Chef,Night,161795.26
240521,160293,Maintenance,Chef,Night,133951.99
240522,160802,Sales,Chef,Evening,88033.7
240523,161460,Sales,Technician,Evening,103477.89
240524,161318,Maintenance,Manager,Morning,98798.2
240525,160331,Food & Beverage,Manager,Evening,51452.27
240526,161990,Housekeeping,Executive,Night,27649.43
240527,161399,Maintenance,Manager,Night,54410.68
240528,160911,Front Office,Supervisor,Evening,37145.83
240529,160411,Food & Beverage,Executive,Evening,43383.84
240530,161857,Food & Beverage,Supervisor,Evening,133762.91
240531,160631,Front Office,Executive,Night,84507.86
240532,160354,Front Office,Executive,Night,37778.78
240533,161027,Maintenance,Supervisor,Night,155139.27
240534,161792,Housekeeping,Technician,Morning,107283.61
240535,161247,Housekeeping,Chef,Evening,124456.76
240536,160887,Front Office,Technician,Night,48594.13
240537,160889,Maintenance,Chef,Evening,65756.01
240538,161017,Maintenance,Manager,Night,29925.08
240539,160845,Maintenance,Manager,Morning,130477.28
240540,161110,Sales,Technician,Evening,28863.68
240541,160622,Food & Beverage,Chef,Morning,90683.32
240542,161804,Front Office,Technician,Evening,82009.02
240543,161700,Maintenance,Executive,Night,158558.69
240544,161934,Food & Beverage,Chef,Evening,155816.37
240545,161059,Housekeeping,Executive,Morning,113865.66
240546,161941,Housekeeping,Executive,Morning,109871.04
240547,161795,Housekeeping,Executive,Morning,107416.76
240548,161909,Housekeeping,Technician,Morning,160073.75
240549,160197,Front Office,Executive,Night,131169.64
240550,161055,Housekeeping,Manager,Morning,90679.69
240551,161602,Maintenance,Manager,Morning,97024.56
240552,161573,Food & Beverage,Executive,Night,114712.22
240553,160283,Sales,Supervisor,Evening,97396.08
240554,160047,Maintenance,Technician,Evening,103170.71
240555,160219,Food & Beverage,Associate,Night,127310.85
240556,161578,Food & Beverage,Associate,Morning,103082.68
240557,160866,Housekeeping,Executive,Evening,38086.43
240558,160784,Front Office,Chef,Night,65587.44
