Guest_ID,Guest_Name,Age,Country,City,Loyalty_Tier,Signup_Date
1500103,Guest_102,28.0,Germany,Bengaluru,Silver,2024-06-16 00:09:20
1500104,Guest_103,69.0,India,Bengaluru,Silver,2021-08-26 05:33:07
1500105,Guest_104,28.0,Australia,Delhi,Silver,2018-08-12 02:27:50
1500106,Guest_105,74.0,India,Bengaluru,None,2022-12-19 15:01:22
1500107,Guest_106,67.0,USA,Jaipur,Silver,2023-04-01 19:17:59
1500108,Guest_107,58.0,Australia,Bengaluru,Gold,2022-02-17 06:25:52
1500109,Guest_108,31.0,USA,Goa,Silver,2021-12-04 07:57:22
1500110,Guest_109,26.0,Canada,London,None,2022-02-05 22:53:03
1500111,Guest_110,32.0,UAE,Bengaluru,None,2021-06-04 17:56:11
1500112,Guest_111,51.0,UAE,Goa,Silver,2019-07-27 16:02:56
1500113,Guest_112,57.0,Australia,Delhi,Platinum,2021-02-16 01:30:12
1500114,Guest_113,33.0,Australia,Delhi,None,2022-05-19 13:22:19
1500115,Guest_114,72.0,Germany,Singapore,Gold,2022-01-05 22:58:53
1500116,Guest_115,62.0,Singapore,Mumbai,Platinum,2021-05-01 01:11:06
1500117,Guest_116,,Singapore,Singapore,None,2018-11-15 04:04:22
1500118,Guest_117,48.0,UK,Singapore,Silver,2023-02-06 22:53:04
1500119,Guest_118,38.0,Canada,Mumbai,Gold,2022-10-07 18:21:30
1500120,Guest_119,22.0,India,London,None,2019-10-02 03:53:25
1500121,Guest_120,62.0,USA,Singapore,Silver,2024-06-02 16:59:18
1500122,Guest_121,48.0,USA,Dubai,Silver,2019-11-03 14:37:56
1500123,Guest_122,43.0,Germany,Dubai,None,2020-02-01 21:05:44
1500124,Guest_123,62.0,Canada,Singapore,Silver,2020-12-23 13:11:57
1500125,Guest_124,38.0,India,Singapore,None,2020-08-09 00:06:50
1500126,Guest_125,45.0,UK ,Jaipur,None,2022-05-28 14:07:37
1500127,Guest_126,29.0,USA,London,None,2019-01-08 23:07:14
1500128,Guest_127,62.0,Australia,Dubai,Gold,2020-07-28 19:12:12
1500129,Guest_128,42.0,Singapore,Delhi,Gold,2022-05-24 12:11:33
1500130,Guest_129,43.0,India,Singapore,None,2021-10-01 23:07:10
1500131,Guest_130,19.0,Singapore,Bengaluru,Silver,2024-01-07 01:23:15
1500132,Guest_131,30.0,USA,Goa,Silver,2022-04-14 04:21:15
1500133,Guest_132,29.0,Germany,Bengaluru,None,2023-12-14 02:36:45
1500134,Guest_133,53.0,USA,Dubai,None,2018-03-11 18:46:57
1500135,Guest_134,70.0,Australia,London,None,2022-01-03 16:46:03
1500136,Guest_135,25.0,UK,Dubai,None,2022-08-03 18:59:20
1500137,Guest_136,57.0,Australia,Dubai,Gold,2021-10-15 12:57:00
1500138,Guest_137,40.0,Singapore,Delhi,None,2021-01-07 20:33:24
1500139,Guest_138,68.0,India,Jaipur,Platinum,2020-01-11 08:56:57
1500140,Guest_139,60.0,India,Bengaluru,Silver,2024-08-29 23:45:41
1500141,Guest_140,31.0,USA,London,None,2018-10-20 21:09:34
1500142,Guest_141,72.0,Singapore,Dubai,Silver,2018-01-23 18:30:45
1500143,Guest_142,73.0,Singapore,Dubai,Gold,2019-05-05 20:03:46
1500144,Guest_143,33.0,Canada,Goa,Silver,2023-05-10 05:57:28
1500145,Guest_144,34.0,UK,London,Silver,2023-06-21 22:35:08
1500146,Guest_145,58.0,Australia,Singapore,Gold,2018-12-05 13:31:54
1500147,,21.0,Germany,London,Silver,2023-08-14 04:05:02
1500148,Guest_147,20.0,India,Mumbai,Silver,2024-12-03 08:54:42
1500149,Guest_148,18.0,Germany,Goa,Silver,2021-11-13 07:26:14
1500150,Guest_149,42.0,India,Mumbai,Silver,2024-12-19 10:05:40
1500151,Guest_150,44.0,Australia,Goa,Silver,2020-12-26 02:59:05
1500152,Guest_151,51.0,Australia,Jaipur,None,2022-03-02 22:48:42
1500153,Guest_152,31.0,Germany,Delhi,Silver,2018-09-03 10:34:46
1500154,Guest_153,26.0,UAE,Delhi,Gold,2022-08-01 14:07:08
1500155,Guest_154,33.0,UAE,Dubai,None,2020-10-09 12:27:33
1500156,Guest_155,42.0,UK,Dubai,Silver,2023-12-29 08:38:03
1500157,Guest_156,54.0,Canada,Jaipur,Silver,2021-08-14 03:29:13
1500158,Guest_157,39.0,Germany,Goa,Silver,2019-04-16 21:13:38
1500159,Guest_158,64.0,Australia,Goa,Gold,2023-04-18 21:17:44
1500160,Guest_159,58.0,India,Goa,Platinum,2019-03-30 04:12:41
1500161,Guest_160,42.0,UAE,London,Platinum,2020-11-20 14:52:14
1500162,Guest_161,58.0,UK,Singapore,None,2020-03-23 12:33:31
1500163,Guest_162,35.0,UK,Singapore,Platinum,2018-03-28 00:47:52
1500164,Guest_163,61.0,Australia,Dubai,Silver,2023-09-28 12:01:15
1500165,Guest_164,39.0,Australia,Delhi,Gold,2020-04-24 04:11:24
1500166,Guest_165,50.0,USA,Dubai,Silver,2024-06-29 16:34:47
1500167,Guest_166,74.0,Canada,Delhi,Silver,2022-02-21 14:35:09
1500168,Guest_167,27.0,UAE,Mumbai,Gold,2021-06-13 19:57:22
1500169,Guest_168,19.0,UK,Bengaluru,None,2018-01-04 14:36:31
1500170,Guest_169,67.0,Australia,London,None,2020-02-18 17:33:51
1500171,Guest_170,62.0,SINGAPORE,Delhi,Silver,2024-12-21 05:49:15
1500172,Guest_171,68.0,UK,London,Platinum,2022-08-21 17:51:26
1500173,Guest_172,38.0,UK,Dubai,Platinum,2024-10-28 08:33:47
1500174,Guest_173,50.0,Germany,London,None,2022-01-08 07:45:38
1500175,Guest_174,64.0,UAE,Singapore,Silver,2024-05-16 18:57:05
1500176,Guest_175,56.0,India,London,Platinum,2022-03-15 02:14:54
1500177,Guest_176,75.0,UAE,Singapore,None,2021-09-05 22:01:20
1500178,Guest_177,44.0,UK,London,Gold,2019-02-27 05:17:33
1500179,Guest_178,54.0,Singapore,Goa,Silver,2018-08-25 21:24:10
1500180,Guest_179,30.0,USA,Singapore,Platinum,2024-08-31 10:02:16
1500181,Guest_180,21.0,Australia,Bengaluru,Gold,2023-04-19 04:21:47
1500182,Guest_181,50.0,USA,Goa,Silver,2018-03-16 13:30:14
1500183,Guest_182,26.0,Australia,Singapore,None,2022-12-16 19:06:53
1500184,Guest_183,38.0,Singapore,Dubai,Gold,2021-03-19 13:53:56
1500185,Guest_184,36.0,Germany,Singapore,None,2019-06-04 01:48:44
1500186,Guest_185,59.0,USA,Goa,Silver,2018-04-28 09:08:46
1500187,Guest_186,75.0,Germany,Goa,None,2019-11-27 15:34:41
1500188,Guest_187,66.0,Canada,Dubai,None,2020-10-25 09:36:01
1500189,Guest_188,56.0,UAE,Mumbai,Silver,2019-11-11 12:47:09
1500190,Guest_189 ,33.0,Canada,Singapore,Silver,2019-01-08 12:09:40
1500191,Guest_190,19.0,Australia,Delhi,Gold,2022-12-28 17:48:36
1500192,Guest_191,66.0,Australia,Mumbai,Silver,2020-08-31 01:14:12
1500193,Guest_192,28.0,UK,London,None,2021-12-29 11:28:15
1500194,Guest_193,38.0,Germany,London,None,2021-10-30 17:05:22
1500195,Guest_194,23.0,Germany ,Delhi,None,2021-11-22 13:36:18
1500196,Guest_195,39.0,UK,Singapore,Silver,2020-09-14 18:41:40
1500197,Guest_196,60.0,UK,Delhi,Silver,2023-03-30 23:50:21
1500198,Guest_197,56.0,UAE,Bengaluru,Silver,2019-10-20 07:20:19
1500199,Guest_198,54.0,Canada,Mumbai,Silver,2022-05-26 12:34:16
1500200,Guest_199,41.0,USA,Delhi,Gold,2019-11-21 04:30:51
1500201,Guest_200,31.0,Canada,Goa,Silver,2020-09-07 18:29:08
1500202,Guest_201,34.0,UAE,Delhi,Platinum,2023-03-20 07:37:57
1500203,Guest_202,50.0,Australia,Bengaluru,Silver,2019-03-07 11:43:59
1500204,Guest_203,36.0,Australia,Dubai,Gold,2021-05-03 02:32:43
1500205,Guest_204,29.0,UAE,Singapore,Gold,2019-10-12 21:05:17
1500206,Guest_205,22.0,Singapore,Delhi,None,2023-07-01 10:58:42
1500207,Guest_206,69.0,India,Goa,None,2023-12-13 20:44:54
1500208,Guest_207,58.0,Germany,London,None,2023-08-29 13:55:51
1500209,Guest_208,20.0,UAE,Singapore,Gold,2020-01-28 13:31:54
1500210,Guest_209,72.0,Australia,Goa,Silver,2018-07-21 13:36:36
1500211,Guest_210,,Canada,Goa,None,2024-11-06 15:12:35
1500212,Guest_211,34.0,Canada,Bengaluru,Gold,2018-12-19 13:17:41
1500213,Guest_212,48.0,Germany,Jaipur,None,2019-01-04 16:30:01
1500214,Guest_213,45.0,Australia,London,Gold,2021-11-29 15:26:19
1500215,Guest_214,42.0,Germany,Singapore,None,2024-08-26 22:30:23
1500216,Guest_215,39.0,UAE,Jaipur,None,2024-07-26 19:41:49
1500217,Guest_216,73.0,USA,Bengaluru,None,2022-08-02 10:31:35
1500218,Guest_217,61.0,UK,Singapore,Silver,2021-12-05 22:37:48
1500219,Guest_218,57.0,Germany ,Bengaluru,None,2023-04-24 00:51:44
1500220,Guest_219,56.0,USA ,Goa,None,2024-10-21 17:33:03
1500221,Guest_220,45.0,USA,Dubai,None,2020-09-21 13:46:27
1500222,Guest_221,19.0,USA,Jaipur,Gold,2023-06-13 02:14:52
1500223,Guest_222,44.0,India,Bengaluru,Silver,2020-03-26 03:47:28
1500224,Guest_223,71.0,Germany,Delhi,Platinum,2021-05-25 01:43:51
1500225,Guest_224,39.0,UK,Mumbai,None,2023-11-04 21:58:57
1500226,Guest_225,34.0,India,London,None,2024-01-02 16:59:03
1500227,Guest_226,65.0,Canada,Bengaluru,None,2022-05-10 07:22:14
1500228,Guest_227,58.0,Canada,Delhi,Silver,2018-08-30 18:15:50
1500229,Guest_228,29.0,Australia,Mumbai,None,2019-06-29 02:04:33
1500230,Guest_229,36.0,UK,Jaipur,Silver,2018-11-28 09:28:54
1500231,Guest_230,72.0,UAE,London,None,2023-11-24 16:18:49
1500232,Guest_231,75.0,Germany,Bengaluru,None,2024-04-18 11:00:15
1500233,Guest_232,27.0,Canada,Mumbai,Silver,2019-06-18 08:01:35
1500234,Guest_233,42.0,Australia,Singapore,Silver,2018-10-24 23:50:48
1500235,Guest_234,41.0,USA,Goa,Silver,2022-06-14 14:10:55
1500236,Guest_235,19.0,India,Bengaluru,None,2023-08-20 14:51:05
1500237,Guest_236,62.0,UAE,Bengaluru,Silver,2022-07-29 20:05:09
1500238,Guest_237,56.0,UAE,Singapore,None,2021-07-01 05:08:36
1500239,Guest_238,23.0,UK,Singapore,Platinum,2023-10-21 07:02:36
1500240,Guest_239,19.0,UAE,Jaipur,None,2023-10-04 15:55:18
1500241,Guest_240,65.0,India,Jaipur,Silver,2018-03-25 18:22:00
1500242,Guest_241,59.0,UAE,Jaipur,None,2020-11-11 05:01:27
1500243,Guest_242,19.0,Canada,Bengaluru,None,2023-12-08 14:30:23
1500244,Guest_243,66.0,Canada,Delhi,Silver,2024-09-10 21:51:40
1500245,Guest_244,61.0,Germany,London,None,2022-01-18 09:59:52
1500246,Guest_245,73.0,USA,London,None,2024-04-20 21:49:49
1500247,Guest_246,35.0,Canada,Bengaluru,None,2019-05-08 05:08:52
1500248,Guest_247,72.0,Singapore,Mumbai,Gold,2022-11-08 11:08:02
1500249,Guest_248,69.0,USA,Jaipur,Gold,2018-01-05 03:15:53
1500250,Guest_249,29.0,UK,Delhi,None,2019-01-11 18:09:33
1500251,Guest_250,26.0,Canada,Bengaluru,Gold,2021-08-02 02:49:45
1500252,Guest_251,52.0,UAE,Bengaluru,None,2022-10-19 13:16:44
1500253,Guest_252,75.0,Germany,Bengaluru,Silver,2022-02-20 03:57:36
1500254,Guest_253,72.0,UK,Jaipur,Gold,2024-03-19 13:49:21
1500255,Guest_254,74.0,Singapore,Mumbai,None,2019-11-08 21:59:12
1500256,Guest_255,25.0,UK,Goa,None,2020-10-20 12:54:05
1500257,Guest_256,38.0,UAE,Dubai,None,2022-12-12 06:34:59
1500258,Guest_257,53.0,UAE,Dubai,None,2019-11-23 08:51:14
1500259,Guest_258,39.0,UAE,Dubai,None,2023-04-16 18:12:12
1500260,Guest_259,31.0,Canada,Goa,Silver,2024-06-07 17:23:10
1500261,Guest_260,21.0,Canada,London,Gold,2018-03-11 03:33:22
1500262,Guest_261,40.0,Canada,Goa,None,2020-09-06 20:33:45
1500263,Guest_262,63.0,Germany,Mumbai,None,2020-08-15 04:39:25
1500264,Guest_263,64.0,UK,Goa,Gold,2019-06-20 03:17:01
1500265,Guest_264,73.0,USA,Goa,None,2019-11-15 06:39:36
1500266,Guest_265,35.0,Singapore,Mumbai,Gold,2024-02-15 05:17:53
1500267,Guest_266,75.0,UK,Mumbai,None,2021-09-17 21:11:33
1500268,Guest_267,39.0,UK,Goa,None,2018-02-15 08:27:11
1500269,Guest_268,66.0,Canada,Bengaluru,Silver,2020-02-28 09:28:39
1500270,Guest_269,48.0,Australia,Goa,Gold,2024-12-17 05:34:25
1500271,Guest_270,18.0,Germany,Jaipur,None,2018-08-01 17:58:28
1500272,Guest_271,51.0,India,Jaipur,None,2020-09-07 10:12:26
1500273,Guest_272,40.0,UAE,Delhi,None,2023-08-10 00:12:02
1500274,Guest_273,28.0,UK,Bengaluru,None,2024-08-14 19:39:48
1500275,Guest_274,65.0,Germany,Mumbai,Silver,2018-04-10 03:26:29
1500276,Guest_275,65.0,Germany,Goa,None,2022-04-11 04:26:46
1500277,Guest_276,19.0,USA,Goa,Gold,2023-10-13 08:37:58
1500278,Guest_277,67.0,India,Goa,None,2021-11-18 10:03:58
1500279,Guest_278,59.0,USA,Mumbai,None,2024-05-27 05:43:37
1500280,Guest_279,72.0,Germany,Mumbai,Silver,2021-12-26 11:38:46
1500281,Guest_280,60.0,Australia,Jaipur,Silver,2022-07-24 21:34:18
1500282,Guest_281,64.0,Australia,Jaipur,Gold,2022-02-05 20:53:54
1500283,Guest_282,37.0,Singapore,London,Gold,2020-07-29 10:11:03
1500284,Guest_283,37.0,UK,London,Platinum,2020-10-07 07:04:40
1500285,Guest_284,67.0,UAE,Delhi,None,2021-04-05 18:43:01
1500286,Guest_285,24.0,UAE,Bengaluru,Silver,2021-08-08 16:52:46
1500287,Guest_286,27.0,USA,Dubai,Silver,2022-02-27 05:29:03
1500288,Guest_287,61.0,UAE,Goa,Silver,2019-12-20 06:35:18
1500289,Guest_288,45.0,USA,Delhi,Silver,2022-08-23 08:06:22
1500290,Guest_289,55.0,Canada ,Goa,Silver,2019-08-20 00:11:45
1500291,Guest_290,45.0,UAE,Delhi,Gold,2023-03-22 10:38:57
1500292,Guest_291,68.0,UAE,Bengaluru,None,2022-02-17 22:02:22
1500293,Guest_292,67.0,Australia,Goa,Silver,2022-08-11 10:02:03
1500294,Guest_293,58.0,USA,Goa,Silver,2024-12-12 18:22:04
1500295,Guest_294,68.0,UK,Singapore,Gold,2022-08-09 00:07:37
1500296,Guest_295,29.0,Australia,Bengaluru,None,2018-12-25 17:47:41
1500297,Guest_296,22.0,Germany,Dubai,None,2021-03-05 01:12:36
1500298,Guest_297,21.0,UK,Mumbai,Silver,2023-05-10 01:41:48
1500299,Guest_298,32.0,UK,Mumbai,None,2024-01-20 23:23:26
1500300,Guest_299,40.0,UAE,Jaipur,Silver,2024-03-23 07:42:30
1500301,Guest_300,68.0,Singapore,Dubai,Gold,2019-06-20 11:24:01
1500302,Guest_301,64.0,Canada,Dubai,Gold,2019-03-27 18:14:43
1500303,Guest_302,72.0,UAE,Bengaluru,None,2020-04-07 00:42:38
1500304,Guest_303,45.0,Australia,Goa,Gold,2019-12-17 12:29:49
1500305,Guest_304,33.0,UK,Dubai,Silver,2024-09-05 10:34:08
1500306,Guest_305,22.0,Australia,Dubai,Gold,2024-02-04 01:36:59
1500307,Guest_306,73.0,Singapore,Jaipur,Gold,2020-07-26 02:57:30
1500308,Guest_307,53.0,India,Bengaluru,Silver,2022-03-09 16:50:37
1500309,Guest_308,22.0,Germany,London,None,2021-11-04 07:39:11
1500310,Guest_309,64.0,India,Mumbai,Silver,2020-07-02 02:33:31
1500311,Guest_310,23.0,Germany,Mumbai,None,2023-01-13 12:58:04
1500312,Guest_311,36.0,USA,Bengaluru,Gold,2022-10-26 01:36:37
1500313,Guest_312,74.0,Canada,Goa,None,2020-05-20 19:18:25
1500314,Guest_313,35.0,Australia,Singapore,Gold,2018-03-29 03:47:45
1500315,Guest_314,31.0,UK,Jaipur,Gold,2018-10-25 23:01:20
1500316,Guest_315,63.0,India,Jaipur,Silver,2019-02-24 23:20:24
1500317,Guest_316,68.0,UAE,Bengaluru,Gold,2021-07-03 15:58:33
1500318,Guest_317,25.0,India,Bengaluru,None,2023-04-06 18:38:18
1500319,Guest_318,20.0,Germany,Goa,Silver,2018-10-30 14:15:48
1500320,Guest_319,29.0,India,Mumbai,Gold,2024-04-16 17:06:53
1500321,Guest_320,75.0,USA,London,Gold,2020-11-08 16:14:05
1500322,Guest_321,33.0,USA,London,Gold,2024-04-18 11:08:52
1500323,Guest_322,55.0,Australia,Dubai,None,2022-09-29 00:19:03
1500324,Guest_323,64.0,USA,London,Platinum,2024-07-19 05:42:34
1500325,Guest_324,52.0,Singapore,Mumbai,Silver,2021-10-20 15:24:48
1500326,Guest_325,40.0,UAE,Singapore,None,2018-10-16 03:05:08
1500327,Guest_326,45.0,Australia,Delhi,None,2023-09-04 14:34:59
1500328,Guest_327,45.0,India,Delhi,Gold,2020-07-06 19:25:24
1500329,Guest_328,60.0,Germany,Singapore,Gold,2018-06-06 02:17:31
1500330,Guest_329,64.0,India,Dubai,None,2023-08-01 14:36:17
1500331,Guest_330,43.0,UK,Dubai,Platinum,2019-07-23 09:31:19
1500332,Guest_331,35.0,Germany,Delhi,None,2024-01-11 08:31:40
1500333,Guest_332,27.0,India,Bengaluru,Platinum,2020-09-13 11:27:36
1500334,Guest_333,53.0,UK,Dubai,Gold,2019-09-22 17:42:52
1500335,Guest_334,38.0,Singapore,Delhi,Silver,2018-09-28 06:33:15
1500336,Guest_335,56.0,USA,London,Silver,2021-08-19 15:16:31
1500337,Guest_336,31.0,USA,Bengaluru,Gold,2021-12-22 10:40:49
1500338,Guest_337,39.0,USA,Bengaluru,None,2020-08-17 16:50:30
1500339,Guest_338,48.0,Germany,London,Gold,2018-03-09 00:59:40
1500340,Guest_339,19.0,USA,Dubai,Gold,2021-08-28 22:25:10
1500341,Guest_340,20.0,Germany,Bengaluru,None,2021-08-22 13:14:33
1500342,Guest_341,23.0,India,Goa,None,2022-05-07 17:55:42
1500343,Guest_342,35.0,USA,Singapore,Silver,2022-03-27 21:26:40
1500344,Guest_343,54.0,USA,Delhi,Silver,2022-10-02 15:49:21
1500345,Guest_344,18.0,Singapore,London,Silver,2019-01-27 22:39:01
1500346,Guest_345,57.0,Australia,Mumbai,Silver,2018-12-14 09:33:44
1500347,Guest_346,37.0,Canada,Singapore,None,2018-11-15 11:22:15
1500348,Guest_347,26.0,Canada,Goa,None,2023-01-13 00:15:34
1500349,Guest_348,72.0,UAE,Singapore,Silver,2018-07-09 08:41:56
1500350,Guest_349,28.0,Singapore,Dubai,Silver,2021-07-21 16:39:44
1500351,Guest_350,18.0,Singapore,Jaipur,Platinum,2024-02-06 04:32:01
1500352,Guest_351,37.0,UK,Dubai,None,2022-08-26 03:59:26
1500353,Guest_352,58.0,Germany,Delhi,None,2020-07-16 03:53:00
1500354,Guest_353,19.0,India,Bengaluru,None,2018-06-26 19:53:29
1500355,Guest_354,47.0,India,Singapore,None,2024-06-08 04:53:13
1500356,Guest_355,21.0,Australia,Delhi,Silver,2022-08-28 07:46:13
1500357,Guest_356,50.0,Germany,London,None,2024-04-15 20:02:39
1500358,Guest_357,56.0,UK,Delhi,Silver,2019-01-11 05:45:24
1500359,Guest_358,29.0,UK,Mumbai,Gold,2023-07-23 19:49:09
