Review_ID,Booking_ID,Review_Date,Cleanliness,Service,Location,Value,Overall_Rating,Sentiment
22000270,20117222.0,2024-03-07 08:53:14,5.0,2,4,4,3.9,Positive
22000271,20009968.0,2024-11-06 20:17:51,2.0,4,4,1,2.8,Positive
22000272,20056120.0,2025-12-22 16:01:14,3.0,2,5,4,2.0,Positive
22000273,20089788.0,2025-06-05 01:31:17,3.0,4,1,3,4.2,Neutral
22000274,20033865.0,2023-05-30 02:04:48,5.0,5,5,4,4.5,Negative
22000275,20099368.0,2025-06-23 02:25:09,1.0,1,3,3,4.2,Neutral
22000276,20050745.0,2025-11-10 10:03:46,5.0,5,5,2,3.7,Negative
22000277,20022158.0,2024-03-16 11:36:09,1.0,4,1,3,4.0,Negative
22000278,20065853.0,2024-06-05 06:12:21,2.0,5,2,2,3.0,Positive
22000279,20081376.0,2025-10-10 11:44:57,1.0,5,1,1,4.3,Positive
22000280,20100524.0,2025-07-29 00:42:30,5.0,4,2,3,3.1,Positive
22000281,20121401.0,2025-05-02 05:47:19,2.0,4,4,1,1.3,Neutral
22000282,20129102.0,2024-01-17 12:50:01,4.0,4,2,2,3.7,Neutral
22000283,20097097.0,2025-02-25 21:53:14,3.0,5,4,3,1.6,Positive
22000284,20022993.0,2024-06-19 23:17:41,1.0,3,5,3,4.1,Neutral
22000285,20043747.0,2024-10-22 13:58:54,4.0,2,4,1,2.2,Positive
22000286,20033344.0,2024-12-20 19:51:18,3.0,5,4,4,4.0,Positive
22000287,20014832.0,2023-10-05 17:13:55,5.0,2,3,1,4.4,Positive
22000288,20041513.0,2024-12-30 07:08:02,4.0,4,5,1,4.9,Positive
22000289,20040830.0,2025-06-21 08:10:37,5.0,1,2,4,1.9,Positive
22000290,20014040.0,2024-11-17 19:25:14,2.0,4,1,3,4.0,Positive
22000291,20098999.0,2023-11-12 22:41:15,3.0,1,1,5,4.4,Neutral
22000292,20068027.0,2025-06-25 04:56:59,3.0,2,1,5,1.2,Positive
22000293,20096155.0,2024-06-26 00:50:40,3.0,5,5,2,4.2,Neutral
22000294,20031136.0,2023-12-20 21:45:37,2.0,1,5,3,1.8,Positive
22000295,20104258.0,2023-10-09 06:54:19,3.0,1,2,4,2.6,Positive
22000296,20096965.0,2025-09-01 19:04:21,4.0,4,2,3,1.2,Positive
22000297,20036365.0,2025-05-17 03:48:00,4.0,2,4,2,3.4,Positive
22000298,20114036.0,2024-08-12 00:20:19,2.0,4,2,2,1.3,Positive
22000299,20057706.0,2023-10-09 10:12:35,5.0,1,5,1,3.2,Positive
22000300,20055976.0,2024-10-15 16:00:03,3.0,1,2,2,1.9,Negative
22000301,20015055.0,2025-07-31 19:12:00,5.0,5,2,3,4.9,Negative
22000302,20070536.0,2025-06-23 16:09:08,1.0,3,4,4,3.4,Neutral
22000303,20078818.0,2023-09-29 17:37:03,5.0,2,5,3,2.2,Negative
22000304,20048714.0,2025-02-22 01:31:10,5.0,1,5,4,4.9,Positive
22000305,20032011.0,2025-09-10 20:33:36,5.0,3,5,3,1.2,Positive
22000306,20009629.0,2023-01-17 17:23:19,2.0,4,5,5,3.7,Neutral
22000307,20038025.0,2024-07-06 06:33:22,1.0,3,1,1,3.5,Neutral
22000308,20006150.0,2024-02-20 12:28:40,2.0,2,4,2,1.4,Positive
22000309,20052578.0,2024-04-30 18:48:16,1.0,1,4,4,1.7,Positive
22000310,20014115.0,2023-10-19 00:51:14,1.0,4,2,4,4.9,Positive
22000311,20094085.0,2024-03-27 09:05:26,4.0,5,5,3,3.9,Positive
22000312,20087199.0,2024-02-12 19:32:46,3.0,3,4,2,1.7,Neutral
22000313,20024202.0,2023-05-31 08:44:58,2.0,3,1,2,4.6,Positive
22000314,20055294.0,2023-01-27 18:35:08,2.0,2,2,4,2.0,Positive
22000315,20120794.0,2023-12-20 00:39:56,2.0,1,2,1,3.8,Positive
22000316,20003273.0,2024-11-24 06:44:07,5.0,1,2,2,1.6,Positive
22000317,20063725.0,2024-10-10 01:35:28,3.0,2,2,2,2.8,Negative
22000318,20044063.0,2024-09-22 08:27:38,3.0,4,1,4,2.6,Positive
22000319,20129376.0,2024-06-17 15:28:15,5.0,4,5,4,1.1,Neutral
22000320,20046784.0,2024-07-25 17:58:52,5.0,4,4,2,4.8,POSITIVE
22000321,20044099.0,2023-08-23 21:02:32,5.0,5,1,3,1.1,Positive
22000322,20008486.0,2025-01-25 21:36:06,3.0,4,4,2,3.2,Positive
22000323,20091025.0,2025-01-14 16:53:31,5.0,4,1,4,3.7,Positive
22000324,20124156.0,2023-08-13 10:55:46,4.0,3,4,1,4.3,Neutral
22000325,20093722.0,2023-04-14 02:36:14,4.0,5,1,3,3.8,Neutral
22000326,20013706.0,2024-09-17 13:09:21,5.0,2,3,2,3.9,Positive
22000327,20116042.0,2025-11-10 23:40:22,1.0,1,4,4,1.6,Positive
22000328,20051449.0,2023-08-22 09:17:42,3.0,2,3,3,1.3,Positive
22000329,20123854.0,2024-02-15 23:54:02,5.0,4,4,4,2.0,Neutral
22000330,20085134.0,2023-04-18 03:33:33,2.0,2,1,3,2.5,Neutral
22000331,20115744.0,2024-09-28 06:35:55,3.0,4,3,3,2.6,Negative
22000332,20119116.0,2025-05-28 01:51:36,4.0,2,2,1,2.5,Positive
22000333,20122018.0,2025-04-30 18:47:36,1.0,2,3,5,4.4,Positive
22000334,20018398.0,2025-09-24 20:51:33,3.0,3,5,4,2.8,Negative
22000335,20026039.0,2024-04-05 05:08:57,2.0,5,4,1,1.2,Negative
22000336,20000926.0,2024-12-20 23:26:57,1.0,4,4,2,2.9,Positive
22000337,20096829.0,2024-04-25 23:50:31,4.0,4,3,1,4.0,Positive
