Stay_ID,Booking_ID,Checkin_Date,Room_Type,Room_Revenue,Food_Revenue,Spa_Revenue,Other_Revenue,Checkout_Date
21000063,20030210,2025-09-05 10:39:56,Suite,33354.83,36725.14,15841.67,6068.68,2025-09-18 10:39:56
21000064,20017413,2024-02-28 00:26:23,Executive,75202.56,6735.94,23320.95,587.43,2024-03-13 00:26:23
21000065,20101563,2023-06-29 15:14:36,Suite,105550.53,34886.99,3976.32,4370.35,2023-07-09 15:14:36
21000066,20064987,2025-09-26 13:05:42,Executive,121415.61,8451.55,3715.25,2317.54,2025-10-01 13:05:42
21000067,20036406,2023-07-07 00:42:50,Villa,107950.18,16333.84,9343.9,2841.21,2023-07-20 00:42:50
21000068,20098838,2023-03-16 16:38:43,Executive,72673.94,7147.32,24834.21,944.34,2023-03-21 16:38:43
21000069,20030268,2024-08-27 05:44:04,Deluxe,88310.16,2533.58,691.21,8645.6,2024-09-08 05:44:04
21000070,20032730,2023-05-31 00:55:31,Standard,52149.83,6411.43,26661.24,12634.0,2023-06-04 00:55:31
21000071,20117992,2025-12-20 20:14:06,Suite,10654.42,38073.7,6609.33,1879.71,2025-12-30 20:14:06
21000072,20007158,2024-01-31 21:26:54,Deluxe,25708.76,15166.72,12244.89,14011.23,2024-02-10 21:26:54
21000073,20099379,2023-10-10 15:07:08,Executive,21279.32,41459.19,11014.62,9265.78,2023-10-20 15:07:08
21000074,20062873,2025-09-27 18:26:53,Suite,73921.2,13853.2,17621.86,12732.23,2025-09-30 18:26:53
21000075,20118405,2023-10-21 07:00:26,Villa,93183.02,10337.1,11187.58,10493.94,2023-10-23 07:00:26
21000076,20062162,2025-11-10 17:43:52,Villa,123342.24,36130.7,23884.35,12998.8,2025-11-16 17:43:52
21000077,20029083,2023-09-23 21:01:45,Suite,61028.19,3539.11,3146.62,7618.81,2023-09-25 21:01:45
21000078,20129767,2024-05-26 14:08:07,Standard,29978.88,13087.28,22873.2,714.29,2024-06-01 14:08:07
21000079,20105447,2024-02-23 20:56:35,Villa,94940.78,25430.01,1909.05,12023.02,2024-02-28 20:56:35
21000080,20110561,2025-10-27 19:12:49,Deluxe,18363.33,4116.25,9259.44,1359.96,2025-10-28 19:12:49
21000081,20016217,2025-12-23 16:50:32,Executive,3412.6,31253.79,5174.45,4508.85,2025-12-25 16:50:32
21000082,20040321,2024-10-09 08:23:47,Standard,24681.37,39185.5,11263.3,14139.54,2024-10-20 08:23:47
21000083,20029009,2023-10-26 16:54:13,Villa,38482.5,37117.86,20549.81,9506.92,2023-11-09 16:54:13
21000084,20008680,2024-07-27 20:00:36,Executive,54251.37,21526.26,19700.37,10208.95,2024-08-01 20:00:36
21000085,20001615,2024-12-22 13:21:06,Standard,44374.01,25007.28,26885.48,2809.08,2024-12-31 13:21:06
21000086,20026200,2025-09-15 19:37:55,Standard,104766.12,37914.34,24865.24,5820.48,2025-09-23 19:37:55
21000087,20066004,2024-06-12 11:21:47,Standard,81113.43,5691.15,29630.35,9585.96,2024-06-20 11:21:47
21000088,20046717,2025-09-19 11:25:23,Deluxe,141833.26,15282.07,18824.98,14944.47,2025-10-02 11:25:23
21000089,20127832,2024-04-02 15:30:03,Deluxe,63680.59,43276.93,28516.07,2575.94,2024-04-13 15:30:03
21000090,20118663,2024-04-13 22:58:10,Deluxe,94920.83,14633.94,16303.23,6428.48,2024-04-15 22:58:10
21000091,20049891,2023-11-15 11:08:28,Deluxe,107870.86,18307.12,18126.82,10697.21,2023-11-29 11:08:28
21000092,20076046,2024-09-22 20:12:32,Standard,58460.96,11295.84,29236.64,4738.76,2024-10-01 20:12:32
21000093,20117697,2024-06-30 01:06:58,Villa,36276.95,25510.12,21418.6,7482.67,2024-07-10 01:06:58
21000094,20044544,2025-10-14 08:14:24,Deluxe,139797.95,35667.3,5077.53,2364.86,2025-10-15 08:14:24
21000095,20029769,2025-06-21 15:33:42,Deluxe,20046.05,41278.08,20087.02,11214.39,2025-06-30 15:33:42
21000096,20042267,2025-05-30 11:49:36,Suite,78168.77,29437.13,650.05,875.31,2025-05-31 11:49:36
21000097,20068986,2025-07-27 21:19:53,Suite,6035.76,9022.09,7073.43,1479.53,2025-08-10 21:19:53
21000098,20099130,2024-08-23 13:05:30,Executive,90348.85,10176.44,21409.77,14764.36,2024-09-04 13:05:30
21000099,20126311,2023-12-24 07:33:42,Villa,21543.22,43648.39,13214.12,4771.38,2024-01-04 07:33:42
21000100,20062467,2025-02-11 11:09:04,Villa,11030.85,10357.59,7405.09,11092.45,2025-02-13 11:09:04
21000101,20123857,2024-12-09 11:07:59,Villa,140479.28,22930.99,3630.57,5254.35,2024-12-22 11:07:59
21000102,20031550,2023-08-30 14:29:10,Suite,40035.88,38936.15,7584.01,14259.93,2023-09-09 14:29:10
21000103,20093165,2023-03-28 01:41:08,Deluxe,17272.92,37040.31,28824.13,12983.4,2023-04-07 01:41:08
21000104,20032404,2025-01-15 22:26:01,Executive,41918.68,37868.38,5046.3,3943.64,2025-01-19 22:26:01
21000105,20066679,2025-09-18 15:18:27,Executive,127539.96,47654.1,25320.86,12348.4,2025-09-27 15:18:27
21000106,20063482,2025-09-03 19:13:05,Villa,106398.63,34222.44,1630.81,13368.15,2025-09-16 19:13:05
21000107,20002580,2025-02-05 02:02:11,Executive,59906.01,979.11,14578.41,6448.49,2025-02-11 02:02:11
21000108,20038173,2024-07-18 03:43:21,Villa,24996.91,31199.56,474.9,3716.97,2024-07-19 03:43:21
21000109,20006651,2025-08-18 03:52:20,Suite,51629.71,49670.23,10285.43,6535.09,2025-08-26 03:52:20
21000110,20090926,2025-01-27 00:50:38,Deluxe,137754.22,22336.05,3670.17,10137.27,2025-01-30 00:50:38
21000111,20065123,2024-06-23 17:57:32,Standard,134197.53,44461.23,4608.74,10805.51,2024-07-07 17:57:32
21000112,20041662,2024-11-22 15:49:26,Deluxe,4840.56,45951.31,24408.27,2928.19,2024-12-02 15:49:26
21000113,20001894,2025-10-29 01:44:09,Deluxe,77430.45,10413.05,12181.2,12071.75,2025-11-01 01:44:09
21000114,20001738,2024-07-03 16:45:07,Deluxe,5707.53,42293.33,7237.87,1945.77,2024-07-09 16:45:07
21000115,20061909,2023-08-11 07:52:14,Deluxe,121926.77,2766.74,26692.9,14240.12,2023-08-18 07:52:14
21000116,20034442,2025-03-30 01:02:30,Executive,98640.17,37261.3,5693.53,3014.6,2025-04-10 01:02:30
21000117,20014504,2023-02-02 16:54:57,Standard,59319.96,4417.15,15128.91,12.0,2023-02-14 16:54:57
21000118,20103367,2023-01-23 16:29:16,Executive,97971.58,44613.08,29225.38,7000.55,2023-01-28 16:29:16
21000119,20084524,2023-05-07 21:50:59,Standard,115548.47,48096.36,21339.3,2948.34,2023-05-16 21:50:59
21000120,20028376,2024-10-28 10:20:01,Suite,14058.78,37428.75,25208.59,12096.19,2024-11-10 10:20:01
21000121,20006689,2024-05-02 03:15:07,Executive,23831.66,14934.32,21955.23,9405.26,2024-05-16 03:15:07
21000122,20116305,2024-07-25 05:27:17,Suite,54024.66,27888.0,6311.65,13689.52,2024-08-08 05:27:17
21000123,20020159,2024-05-03 19:55:05,Villa,74931.33,14699.44,21747.62,4495.88,2024-05-04 19:55:05
21000124,20028424,2023-10-23 15:31:50,Executive,49732.27,39134.25,3869.59,10268.02,2023-11-02 15:31:50
21000125,20040914,2023-01-30 21:30:53,Executive,50075.5,4300.61,17292.7,9848.01,2023-02-06 21:30:53
21000126,20000647,2023-06-15 18:01:12,Suite,26739.66,40169.91,17281.66,14492.78,2023-06-26 18:01:12
21000127,20033769,2025-09-11 15:54:57,Deluxe,32375.42,16174.94,10093.44,1192.12,2025-09-14 15:54:57
21000128,20033265,2024-07-09 20:19:29,Executive,78695.31,30050.61,22028.76,432.38,2024-07-23 20:19:29
21000129,20065087,2024-03-04 12:00:52,Standard,107298.46,48669.88,13574.09,10343.19,2024-03-10 12:00:52
21000130,20058719,2025-10-17 08:20:19,Deluxe,62979.96,12040.75,7025.58,14072.37,2025-10-20 08:20:19
21000131,20110078,2025-05-05 04:09:13,Deluxe,149347.68,33993.36,2481.84,11451.79,2025-05-08 04:09:13
21000132,20100818,2023-02-10 22:37:31,Suite,52631.73,36484.02,11193.38,11717.37,2023-02-14 22:37:31
21000133,20068249,2025-02-24 12:12:42,Suite,63522.22,48295.38,26168.29,7449.78,2025-02-26 12:12:42
21000134,20124993,2024-01-30 00:04:54,Executive,107449.8,22838.56,21475.69,14861.3,2024-02-08 00:04:54
21000135,20035734,2025-12-29 12:57:31,Suite,103584.67,45244.63,26542.06,10096.44,2026-01-07 12:57:31
21000136,20121711,2025-11-07 09:59:39,Villa,40356.35,14040.23,29302.17,12465.02,2025-11-16 09:59:39
21000137,20099975,2025-06-08 19:30:05,Deluxe,3288.57,37234.45,17560.61,3587.16,2025-06-11 19:30:05
21000138,20064785,2023-03-03 16:28:52,Villa,6229.33,5913.23,6583.24,9407.26,2023-03-15 16:28:52
21000139,20016691,2024-04-04 11:35:21,Standard,29385.83,912.68,21685.48,10178.09,2024-04-16 11:35:21
21000140,20011536,2024-07-06 02:02:51,Villa,107919.78,35776.53,7617.42,14617.6,2024-07-10 02:02:51
21000141,20092370,2024-09-13 07:29:48,Villa,7915.18,33660.09,9386.34,3108.5,2024-09-14 07:29:48
21000142,20071515,2024-07-02 04:26:04,Suite,116023.01,35393.68,4086.21,3884.54,2024-07-08 04:26:04
21000143,20061659,2024-01-19 12:40:08,Suite,114310.02,48193.84,6137.18,4733.62,2024-01-29 12:40:08
21000144,20038094,2025-02-13 23:09:39,Villa,133657.88,37783.36,29635.51,8173.55,2025-02-23 23:09:39
21000145,20019362,2025-11-20 17:09:10,Standard,122513.28,14382.11,26164.57,8097.42,2025-11-25 17:09:10
21000146,20058167,2024-01-03 09:42:14,Standard,33829.73,21732.26,10474.16,13152.42,2024-01-06 09:42:14
21000147,20004916,2023-03-12 21:45:52,Executive,101231.28,49513.11,25611.98,14266.38,2023-03-22 21:45:52
21000148,20124340,2023-07-04 23:44:56,Suite,125839.42,20155.04,13460.72,3764.99,2023-07-12 23:44:56
21000149,20067716,2024-01-13 03:45:19,Suite,80359.74,8456.98,29625.04,5276.28,2024-01-19 03:45:19
21000150,20057569,2024-07-08 17:29:39,Executive,108952.87,26459.09,4684.82,4812.65,2024-07-11 17:29:39
21000151,20079714,2025-11-08 03:07:22,Villa,110502.41,22961.97,12756.43,8669.66,2025-11-12 03:07:22
21000152,20028082,2023-04-12 17:24:44,Executive,35831.96,5379.76,913.02,7464.65,2023-04-18 17:24:44
21000153,20118234,2023-06-29 14:31:22,Villa,51880.45,46515.48,2050.31,14938.92,2023-07-01 14:31:22
21000154,20040161,2025-10-27 07:26:03,Deluxe,102170.2,41110.71,11362.68,6262.45,2025-11-09 07:26:03
21000155,20060696,2024-07-31 10:25:16,Executive,27106.16,11151.71,1785.22,3165.47,2024-08-11 10:25:16
21000156,20057224,2024-03-26 03:17:25,Villa,85791.91,26277.81,17566.41,13622.23,2024-04-09 03:17:25
21000157,20103251,2025-04-05 00:52:51,Executive,65357.85,25123.29,14564.01,14323.26,2025-04-11 00:52:51
21000158,20006333,2024-09-21 22:59:02,Executive,133865.98,24246.95,12848.12,7948.26,2024-10-05 22:59:02
21000159,20076728,2025-04-13 17:31:44,Executive,61667.17,24851.33,181.81,262.65,2025-04-19 17:31:44
21000160,20024826,2025-11-27 19:01:24,Standard,89898.9,12528.12,24159.41,12065.59,2025-12-03 19:01:24
21000161,20094497,2023-02-12 00:17:29,Villa,79272.89,14623.71,6029.45,10653.34,2023-02-17 00:17:29
21000162,20031238,2025-03-20 00:58:29,Suite,146395.98,33507.41,10276.38,10717.18,2025-03-27 00:58:29
21000163,20056081,2024-04-30 01:17:14,Suite,83361.21,29347.46,18840.1,12054.52,2024-05-10 01:17:14
21000164,20025458,2023-01-29 08:20:12,Villa,105488.01,47106.71,12442.29,7089.03,2023-02-10 08:20:12
21000165,20002249,2023-04-11 12:38:25,Villa,62388.38,11380.94,13963.94,3247.09,2023-04-13 12:38:25
21000166,20022025,2024-11-26 20:32:04,Villa,97727.27,47778.01,4362.72,633.29,2024-12-04 20:32:04
21000167,20123684,2023-06-25 20:14:29,Villa,96435.35,2648.27,12616.79,4808.34,2023-07-06 20:14:29
21000168,20077898,2023-09-25 13:14:31,Executive,5841.51,34831.09,29608.19,6790.79,2023-09-26 13:14:31
21000169,20054358,2024-11-16 05:12:44,Suite,50304.7,35742.69,6500.09,4415.79,2024-11-30 05:12:44
21000170,20104737,2023-06-30 15:55:50,Standard,71800.31,33372.31,6707.49,6505.13,2023-07-06 15:55:50
21000171,20021128,2025-05-01 11:54:51,Executive,57637.43,45310.33,8895.35,14126.45,2025-05-07 11:54:51
21000172,20015428,2024-12-19 08:32:21,Deluxe,22641.89,10417.56,14151.53,9048.39,2024-12-23 08:32:21
21000173,20094282,2023-08-12 03:29:22,Standard,100505.71,16305.89,22058.02,14033.81,2023-08-13 03:29:22
21000174,20109933,2024-06-03 17:20:00,Deluxe,112960.45,49341.05,9093.41,13194.81,2024-06-12 17:20:00
21000175,20129479,2025-06-15 04:55:11,Suite,86888.58,47784.35,11664.97,3555.95,2025-06-24 04:55:11
21000176,20106632,2025-09-15 14:30:37,Deluxe,97445.79,11079.98,24454.41,6027.21,2025-09-20 14:30:37
21000177,20069071,2024-03-23 10:27:27,Villa,112198.95,20129.73,21310.65,7675.92,2024-04-03 10:27:27
21000178,20110083,2023-05-24 20:51:52,Suite,142443.94,49013.53,18536.11,7795.31,2023-05-31 20:51:52
21000179,20041131,2025-06-25 11:06:27,Villa,46755.2,16094.48,15411.4,9625.27,2025-06-30 11:06:27
21000180,20105574,2025-01-13 11:32:04,Standard,73394.45,47930.1,4606.83,6148.08,2025-01-19 11:32:04
21000181,20084153,2025-04-09 06:21:45,Executive,81431.45,26086.79,6169.5,12418.97,2025-04-16 06:21:45
21000182,20073663,2025-06-20 00:25:48,Executive,142083.34,26734.42,10233.79,2166.98,2025-07-01 00:25:48
21000183,20129839,2023-12-08 23:07:56,Standard,12077.3,20912.03,1081.0,13113.12,2023-12-18 23:07:56
21000184,20103970,2023-05-24 22:41:57,Suite,26969.78,730.9,7400.23,8260.88,2023-06-02 22:41:57
21000185,20038301,2024-07-15 23:37:46,Suite,48257.27,8399.41,27716.97,12676.32,2024-07-17 23:37:46
21000186,20047131,2025-07-02 05:34:42,Suite,24349.77,16412.28,3942.7,6409.27,2025-07-16 05:34:42
21000187,20040983,2024-11-21 09:22:49,Executive,112316.74,44556.3,2289.08,7072.24,2024-11-28 09:22:49
21000188,20115547,2024-11-16 09:37:45,Executive,74675.18,23685.15,22001.17,14151.81,2024-11-24 09:37:45
21000189,20031406,2025-11-27 22:06:29,Suite,6030.02,23788.34,11731.34,6168.16,2025-12-10 22:06:29
21000190,20122841,2025-07-19 21:25:18,Standard,125808.18,3307.69,5298.07,9172.13,2025-07-30 21:25:18
21000191,20076514,2024-05-20 00:57:07,Villa,56985.13,12824.35,9479.95,4765.37,2024-06-02 00:57:07
21000192,20015897,2024-04-01 19:10:32,Suite,30076.63,49881.95,19570.08,3620.09,2024-04-09 19:10:32
21000193,20068244,2023-11-11 00:43:03,Villa,16717.68,5820.96,20149.12,8432.0,2023-11-12 00:43:03
21000194,20061375,2024-03-13 22:19:50,Suite,111170.92,46982.76,17924.64,12862.17,2024-03-14 22:19:50
21000195,20023719,2025-07-26 17:26:54,Executive,85656.5,9292.69,6438.08,9397.49,2025-08-07 17:26:54
21000196,20047776,2023-04-11 16:35:57,Standard,149148.1,45971.48,8360.9,7333.26,2023-04-24 16:35:57
21000197,20107979,2023-05-29 14:59:03,Standard,52852.69,11965.83,9616.92,10190.58,2023-06-04 14:59:03
21000198,20014165,2024-03-23 00:19:14,Executive,76289.27,38506.95,13383.56,11787.09,2024-03-31 00:19:14
21000199,20103902,2023-03-31 00:45:05,Executive,13449.08,9793.29,16119.93,4789.89,2023-04-08 00:45:05
21000200,20001279,2025-09-09 04:57:00,Executive,89557.87,26196.54,26577.26,7604.84,2025-09-11 04:57:00
21000201,20008419,2023-04-30 17:55:52,Villa,21338.16,25020.47,24487.28,14740.99,2023-05-12 17:55:52
21000202,20101919,2025-04-08 23:18:54,Executive,22434.67,34596.0,5465.33,3002.65,2025-04-10 23:18:54
21000203,20076785,2024-04-12 15:55:36,Executive,41719.82,48660.07,14066.45,5845.22,2024-04-22 15:55:36
21000204,20018773,2024-02-16 09:34:11,Standard,134907.59,28031.74,27730.35,10838.1,2024-03-01 09:34:11
21000205,20000945,2025-11-21 18:18:21,Deluxe,122639.97,8824.36,5216.94,12462.77,2025-12-01 18:18:21
21000206,20086404,2025-09-16 17:10:00,Deluxe,129075.53,28999.21,5745.71,12527.96,2025-09-19 17:10:00
21000207,20112703,2024-03-18 23:50:50,Deluxe,143593.15,18090.56,2166.28,14147.07,2024-03-20 23:50:50
21000208,20055570,2025-09-26 21:50:00,Standard,82138.27,7927.54,1456.77,12754.36,2025-10-08 21:50:00
21000209,20057359,2024-03-07 23:24:51,Executive,15401.33,6303.8,8809.47,1330.12,2024-03-09 23:24:51
21000210,20073956,2024-09-05 21:04:58,Villa,110360.43,15326.24,8874.1,10040.28,2024-09-09 21:04:58
21000211,20089714,2025-09-18 00:37:47,Suite,81697.91,43059.25,21172.14,5379.12,2025-09-29 00:37:47
21000212,20001826,2025-07-20 15:22:09,Villa,91518.83,14926.28,28910.34,5269.23,2025-08-03 15:22:09
21000213,20114928,2023-02-02 17:49:03,Deluxe,133960.65,37004.23,13002.2,2529.42,2023-02-16 17:49:03
21000214,20040095,2024-12-09 08:56:44,Villa,131871.53,907.27,2079.37,14238.01,2024-12-23 08:56:44
21000215,20051930,2023-03-06 06:04:44,Executive,34138.62,16050.86,20431.58,11769.7,2023-03-12 06:04:44
21000216,20059085,2024-10-12 13:47:08,Deluxe,125495.19,44278.49,21035.54,3901.9,2024-10-18 13:47:08
21000217,20112064,2023-02-12 17:31:01,Standard,61841.47,25705.8,17189.22,5620.07,2023-02-23 17:31:01
21000218,20053558,2023-04-10 19:54:44,Executive,5579.94,27623.12,25683.7,3609.56,2023-04-22 19:54:44
21000219,20008983,2024-04-24 01:08:56,Suite,59610.4,20751.2,9025.48,2344.46,2024-05-02 01:08:56
21000220,20060268,2024-09-01 18:55:10,Suite,34566.01,30700.62,21722.99,9403.77,2024-09-10 18:55:10
21000221,20108398,2025-12-03 02:27:48,Executive,14468.64,7999.63,16030.06,8316.55,2025-12-11 02:27:48
21000222,20042536,2025-09-13 09:52:16,Deluxe,95750.74,45517.35,8183.79,7972.26,2025-09-20 09:52:16
21000223,20021096,2025-10-21 12:20:50,Villa,68065.07,27818.88,24912.52,7794.46,2025-10-30 12:20:50
21000224,20128906,2024-11-28 16:47:32,Deluxe,14228.24,2899.82,13358.43,13473.82,2024-12-10 16:47:32
21000225,20115039,2025-11-01 07:48:21,Deluxe,24158.27,14631.93,6849.05,7957.1,2025-11-15 07:48:21
21000226,20003540,2024-09-11 19:18:02,Suite,60433.07,27387.49,16496.96,4869.81,2024-09-25 19:18:02
21000227,20083425,2025-03-11 03:55:12,Standard,60525.74,21761.33,7720.27,13750.63,2025-03-18 03:55:12
21000228,20049260,2023-06-11 19:36:13,Standard,20457.15,28553.21,12079.69,8625.12,2023-06-24 19:36:13
21000229,20086160,2023-06-13 15:00:24,Executive,67568.73,38029.11,8645.44,4370.92,2023-06-14 15:00:24
21000230,20091223,2024-01-30 05:21:19,Standard,109658.43,21687.01,12388.14,8998.56,2024-01-31 05:21:19
21000231,20029076,2025-01-04 07:09:17,Suite,35337.56,19617.75,7992.59,5071.99,2025-01-18 07:09:17
21000232,20016512,2023-02-20 17:38:48,Deluxe,118689.51,3642.46,10919.97,14130.15,2023-03-05 17:38:48
21000233,20010415,2023-01-14 07:59:01,Deluxe,1748.85,18091.93,4766.39,8361.31,2023-01-19 07:59:01
21000234,20112455,2025-01-24 07:49:40,Standard,113185.54,3448.12,19857.43,13369.8,2025-02-06 07:49:40
21000235,20039809,2023-08-13 02:00:25,Deluxe,10110.61,30546.87,10823.05,4550.11,2023-08-22 02:00:25
21000236,20024702,2023-08-02 07:50:53,Villa,63110.77,22757.54,5810.14,770.92,2023-08-05 07:50:53
21000237,20025198,2025-02-12 23:09:18,Standard,12292.3,10527.35,3113.94,336.79,2025-02-14 23:09:18
